road,id,model_type,name,lat,lon,length,condition,lrp
N1,1000163,link,link 138,22.7221104,91.6030833,456,,LRP191a
N1,1000164,link,link 139,22.7263882,91.6007778,531,,LRP191
N1,1000165,link,link 140,22.7349163,91.5979719,991,,LRP190a
N1,1000166,link,link 141,22.7349997,91.5979441,10,,LRP190
N1,1000167,link,link 142,22.7433052,91.5950274,971,,LRP189a
N1,1000168,link,link 143,22.7435552,91.5949163,30,,LRP189
N1,1000169,link,link 144,22.7496386,91.5916386,755,,LRP188a
N1,1000170,link,link 145,22.7513333,91.5903608,230,,LRP188
N1,1000171,link,link 146,22.7525,91.5894719,159,,LRP187b
N1,1000172,link,link 147,22.7526389,91.5893608,19,,LRP187a
N1,1000173,bridge,VARTAKA BOX CULVERT,22.7526389,91.5893608,13,A,LRP187a
N1,1000174,link,link 148,22.7585278,91.5845274,821,,LRP187
N1,1000175,link,link 149,22.7621944,91.5811382,536,,LRP186a
N1,1000176,link,link 150,22.7654722,91.5785549,451,,LRP186
N1,1000177,link,link 151,22.7661944,91.5779993,98,,LRP185b
N1,1000178,link,link 152,22.7693604,91.5756104,429,,LRP185a
N1,1000179,link,link 153,22.7730271,91.5734716,463,,LRP185
N1,1000180,link,link 154,22.7732771,91.5733604,30,,LRP184c
N1,1000181,link,link 155,22.7771104,91.5713327,474,,LRP184b
N1,1000182,link,link 156,22.7811382,91.5696382,480,,LRP184a
N1,1000183,link,link 157,22.7812216,91.5695827,11,,LRP184
N1,1000184,link,link 158,22.7813327,91.5695271,14,,LRP183a
N1,1000185,link,link 159,22.7893608,91.5655833,980,,LRP183
N1,1000186,link,link 160,22.7896108,91.5654444,31,,LRP182b
N1,1000187,link,link 161,22.7934163,91.5633333,475,,LRP182a
N1,1000188,link,link 162,22.7974719,91.5613611,494,,LRP182
N1,1000189,link,link 163,22.8045833,91.5591111,824,,LRP181a
N1,1000190,link,link 164,22.8059444,91.5589167,153,,LRP181
N1,1000191,link,link 165,22.8059722,91.5589167,3,,LRP180c
N1,1000192,link,link 166,22.808,91.5579167,248,,LRP180b
N1,1000193,link,link 167,22.8110556,91.5563889,374,,LRP180a
N1,1000194,link,link 168,22.8141389,91.5555833,353,,LRP180
N1,1000195,link,link 169,22.8228049,91.5531389,996,,LRP179
N1,1000196,link,link 170,22.8239438,91.5528333,130,,LRP178a
N1,1000197,bridge,PURPU DURGAPURE BOX CUL,22.8239438,91.5528333,12,C,LRP178a
N1,1000198,link,link 171,22.8313882,91.5503611,866,,LRP178
N1,1000199,link,link 172,22.8372497,91.5492497,662,,LRP177a
N1,1000200,link,link 173,22.8401941,91.5490552,328,,LRP177
N1,1000201,link,link 174,22.8432497,91.5482219,350,,LRP176d
N1,1000202,bridge,MASTARI HAGOR 3 CULVERT,22.8432497,91.5482219,2,A,LRP176d
N1,1000203,link,link 175,22.8452219,91.5475274,231,,LRP176c
N1,1000204,bridge,MUSTAU NOGAR(2),22.8452219,91.5475274,3,A,LRP176c
N1,1000205,link,link 176,22.8484441,91.5464163,376,,LRP176b
N1,1000206,link,link 177,22.8485274,91.5463886,10,,LRP176a
N1,1000207,bridge,MASTANNAGOR BONCUL(1),22.8485274,91.5463886,8,A,LRP176a
N1,1000208,link,link 178,22.8486663,91.5463608,16,,LRP176
N1,1000209,link,link 179,22.8550556,91.545833,713,,LRP175b
N1,1000210,bridge,MAMAFAKIR ASTANA SLAB CULVERT,22.8550556,91.545833,2,A,LRP175b
N1,1000211,link,link 180,22.856,91.5457219,106,,LRP175a
N1,1000212,bridge,MAMAFOUN ASTANA CULVERT,22.856,91.5457219,2,A,LRP175a
N1,1000213,link,link 181,22.8575556,91.5456386,173,,LRP175
N1,1000214,link,link 182,22.8595833,91.5454719,226,,LRP174b
N1,1000215,bridge,MADDUM SONAPHAR-3,22.8595833,91.5454719,2,A,LRP174b
N1,1000216,link,link 183,22.86111772310757,91.54512584501992,174,,LRP174a
N1,1000217,bridge,DHARBAR TILA CULVERT,22.86111772310757,91.54512584501992,4,A,LRP174a
N1,1000218,link,link 184,22.8661111,91.5439997,567,,LRP174
N1,1000219,link,link 185,22.868416,91.5431663,270,,LRP173b
N1,1000220,bridge,MADDAM SONAPAR(1) BOX CULVERT,22.868416,91.5431663,2,A,LRP173b
N1,1000221,link,link 186,22.8731382,91.5414441,554,,LRP173a
N1,1000222,bridge,CHAIRMEN BARI BOX CULVERT,22.8731382,91.5414441,2,A,LRP173a
N1,1000223,link,link 187,22.8744438,91.5409719,153,,LRP173
N1,1000224,link,link 188,22.875166,91.5407219,84,,LRP172b
N1,1000225,link,link 189,22.8829993,91.5381663,910,,LRP172
N1,1000226,link,link 190,22.8916386,91.5354719,1000,,LRP171
N1,1000227,link,link 191,22.8921663,91.5353052,61,,LRP170d
N1,1000228,link,link 192,22.8929719,91.5350274,94,,LRP170c
N1,1000229,link,link 193,22.8939997,91.5346941,119,,LRP170b
N1,1000230,link,link 194,22.8994441,91.5336108,615,,LRP170a
N1,1000231,link,link 195,22.9003333,91.5333608,102,,LRP170
N1,1000232,link,link 196,22.9046667,91.5314438,520,,LRP169a
N1,1000233,link,link 197,22.9085833,91.5294993,479,,LRP169
N1,1000234,link,link 198,22.9138056,91.5268604,641,,LRP168b
N1,1000235,link,link 199,22.9156667,91.5259438,227,,LRP168a
