road,id,model_type,name,lat,lon,length,condition,lrp,small_truck,medium_truck,heavy_truck,aadt
N1,1000049,bridge,Darikandi Bridge (R) (2 bridges at crossing),23.65398615,90.5773882,20,A,LRP017c,3221.0,4419.0,153.0,24589.0
N1,1000050,link,link 40,23.6539167,90.5774993,0,,LRP017d,3221.0,4419.0,153.0,24589.0
N1,1000051,link,link 41,23.6525278,90.5798882,288,,LRP018,3221.0,4419.0,153.0,24589.0
N1,1000052,link,link 42,23.6508889,90.5826382,334,,LRP018a,3221.0,4419.0,153.0,24589.0
N1,1000053,bridge,DARIKANDI BRIDGE (R) (2 bridges at crossing),23.65079165,90.58281875,20,B,LRP018a,3221.0,4419.0,153.0,24589.0
N1,1000054,link,link 43,23.6506944,90.5829993,0,,LRP018b,3221.0,4419.0,153.0,24589.0
N1,1000055,link,link 44,23.6476108,90.588083,621,,LRP019,3221.0,4419.0,153.0,24589.0
N1,1000056,link,link 45,23.6449441,90.5899163,350,,LRP019a,3221.0,4419.0,153.0,24589.0
N1,1000057,link,link 46,23.6397497,90.5926941,643,,LRP019b,3221.0,4419.0,153.0,24589.0
N1,1000058,link,link 47,23.6396941,90.5927219,7,,LRP020,3221.0,4419.0,153.0,24589.0
N1,1000059,link,link 48,23.6358608,90.5948052,476,,LRP020a,3221.0,4419.0,153.0,24589.0
N1,1000060,link,link 49,23.6341108,90.5970274,299,,LRP020b,3221.0,4419.0,153.0,24589.0
N1,1000061,bridge,SHADIPUR BOX CULVERT,23.633833,90.59736075,10,B,LRP020b,3221.0,4419.0,153.0,24589.0
N1,1000062,link,link 50,23.6335552,90.5976941,0,,LRP020c,3221.0,4419.0,153.0,24589.0
N1,1000063,link,link 51,23.6330549,90.5982774,81,,LRP021,3221.0,4419.0,153.0,24589.0
N1,1000064,link,link 52,23.6262771,90.6042222,967,,LRP021a,3221.0,4419.0,153.0,24589.0
N1,1000065,link,link 53,23.6252216,90.6049722,140,,LRP022,1005.0,4999.0,244.0,14551.0
N1,1000066,link,link 54,23.6242216,90.6055278,125,,LRP022a,1005.0,4999.0,244.0,14551.0
N1,1000067,bridge,Bridge start,23.62336045,90.6061111,0,B,LRP022a,1005.0,4999.0,244.0,14551.0
N1,1000068,link,link 55,23.6224993,90.6066944,0,,LRP022b,1005.0,4999.0,244.0,14551.0
N1,1000069,link,link 56,23.6204716,90.6079722,260,,LRP022c,1005.0,4999.0,244.0,14551.0
N1,1000070,bridge,SANGAKADI CULVERT,23.61999935,90.60827775,6,B,LRP022c,1005.0,4999.0,244.0,14551.0
N1,1000071,link,link 57,23.6195271,90.6085833,0,,LRP022d,1005.0,4999.0,244.0,14551.0
N1,1000072,link,link 58,23.6173604,90.6096944,266,,LRP023,1005.0,4999.0,244.0,14551.0
N1,1000073,link,link 59,23.6095556,90.6121944,904,,LRP023a,1005.0,4999.0,244.0,14551.0
N1,1000074,link,link 60,23.609,90.6124722,68,,LRP024,1005.0,4999.0,244.0,14551.0
N1,1000075,link,link 61,23.6018611,90.6159722,870,,LRP024a,1005.0,4999.0,244.0,14551.0
N1,1000076,link,link 62,23.6009444,90.6165556,118,,LRP025,1005.0,4999.0,244.0,14551.0
N1,1000077,link,link 63,23.5959997,90.624666,993,,LRP026,1005.0,4999.0,244.0,14551.0
N1,1000078,link,link 64,23.5959441,90.6246938,7,,LRP026a,1005.0,4999.0,244.0,14551.0
N1,1000079,link,link 65,23.5917497,90.6293327,664,,LRP026b,1005.0,4999.0,244.0,14551.0
N1,1000080,link,link 66,23.5896108,90.6313882,317,,LRP027,1005.0,4999.0,244.0,14551.0
N1,1000081,link,link 67,23.5837497,90.6369441,863,,LRP027a,1005.0,4999.0,244.0,14551.0
N1,1000082,link,link 68,23.5828327,90.6378886,140,,LRP028,1005.0,4999.0,244.0,14551.0
N1,1000083,link,link 69,23.5825827,90.6381386,38,,LRP028a,1005.0,4999.0,244.0,14551.0
N1,1000084,bridge,Bridge end,23.58024935,90.64005525,0,B,LRP028a,1005.0,4999.0,244.0,14551.0
N1,1000085,link,link 70,23.577916,90.6419719,0,,LRP028b,1005.0,4999.0,244.0,14551.0
N1,1000086,link,link 71,23.5776104,90.6421108,37,,LRP028c,1005.0,4999.0,244.0,14551.0
N1,1000087,link,link 72,23.5745271,90.6436941,379,,LRP029,1005.0,4999.0,244.0,14551.0
N1,1000088,link,link 73,23.572166,90.6451108,300,,LRP029a,1005.0,4999.0,244.0,14551.0
N1,1000089,bridge,Anarpara Bridge (L) (4 bridges at crossing),23.57199935,90.645208,30,A,LRP029a,1005.0,4999.0,244.0,14551.0
N1,1000090,link,link 74,23.5718327,90.6453052,0,,LRP029b,1005.0,4999.0,244.0,14551.0
N1,1000091,link,link 75,23.5666111,90.6481663,650,,LRP030,1005.0,4999.0,244.0,14551.0
N1,1000092,link,link 76,23.5639167,90.6501944,364,,LRP030a,1005.0,4999.0,244.0,14551.0
N1,1000093,bridge,Bridge start,23.56380555,90.6503333,0,B,LRP030a,1005.0,4999.0,244.0,14551.0
N1,1000094,link,link 77,23.5636944,90.6504722,0,,LRP030b,1005.0,4999.0,244.0,14551.0
N1,1000095,link,link 78,23.5604167,90.6542222,528,,LRP030c,1005.0,4999.0,244.0,14551.0
N1,1000096,bridge,Alipur bridge(R) (4 bridges at crossing),23.56031945,90.6543611,27,A,LRP030c,1005.0,4999.0,244.0,14551.0
N1,1000097,link,link 79,23.5602222,90.6545,0,,LRP030d,1005.0,4999.0,244.0,14551.0
N1,1000098,link,link 80,23.5599722,90.6548056,42,,LRP031,1116.0,5314.0,355.0,14822.0
