LRP_No,Road_Chainage,LRP_Type,Description,Latitude_Decimal,Longitude_Decimal,Road
LRPS,0,Others,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1
LRPS,0,Others,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1
LRPS,0,Others,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1
LRPSa,0.814,Culvert,Box Culvert,23.7029167,90.4504167,N1
LRPSb,0.822,Cross Road,Intersection with Z1101,23.7027778,90.4504722,N1
LRP001,1,Km Post,Km post missing,23.7021389,90.4519722,N1
LRP002,2,Km Post,Km post missing,23.6978886,90.4605833,N1
LRP002a,2.13,Culvert,Box culvert,23.6973608,90.4616667,N1
LRP003,3,Km Post,Km post missing,23.693833,90.4691382,N1
LRP004,4,Km Post,Km post missing,23.6936108,90.4787771,N1
LRP004a,4.175,"Side Road, Right",Road to Narayanganj(R111),23.6938052,90.4805271,N1
LRP005,5,Km Post,Km post missing,23.6947497,90.4884997,N1
LRP006,6,Km Post,Km post missing,23.6959163,90.4981941,N1
LRP007,7,Km Post,Km post missing,23.697333,90.50775,N1
LRP007a,7.181,Cross Road,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.5092778,N1
LRP008,8,Km Post,Km post missing,23.7020556,90.5157222,N1
LRP008a,8.011,Bridge,Kachpur bridge,23.7021111,90.5157778,N1
LRP008b,8.429,Bridge,Bridge end,23.7045833,90.5188327,N1
LRP009,8.503,Km Post,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,N1
LRP009a,8.763,"Side Road, Left",Road to Sylhet (N2),23.7060833,90.5215271,N1
LRP010,9.503,Km Post,Km post missing,23.7025278,90.5273882,N1
LRP010a,9.615,Culvert,Box culvert,23.7015278,90.5281938,N1
LRP010b,9.963,Culvert,Box culvert,23.6998608,90.5307216,N1
LRP010c,10.377,Culvert,Box culvert,23.6974163,90.5337774,N1
LRP011,10.503,Km Post,Km post missing,23.6966386,90.5348052,N1
LRP011a,10.885,Culvert,Box culvert,23.6943608,90.5376108,N1
LRP011b,11.313,Culvert,Box culvert,23.6922774,90.5410552,N1
LRP012,11.497,Km Post,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,N1
LRP012a,11.745,Bridge,Bridge start,23.6911108,90.5448886,N1
LRP012b,11.771,Bridge,Bridge end,23.6910552,90.5451386,N1
LRP012c,11.936,"Side Road, Right",Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,N1
LRP013,12.524,Km Post,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,N1
LRP013a,12.672,Culvert,Box culvert,23.6854997,90.5512778,N1
LRP014,13.524,Km Post,Km post missing,23.678166,90.5556111,N1
LRP015,14.524,Km Post,Km post missing,23.670916,90.5597778,N1
LRP015a,14.563,Culvert,Box culvert,23.6705827,90.5599722,N1
LRP016,15.524,Km Post,Km post missing,23.6628333,90.5641111,N1
LRP016a,15.935,"Side Road, Right",Road to MinanbariZ1061),23.6604167,90.5671104,N1
LRP016b,16.242,Bridge,Langalbandhu bridge,23.6591111,90.5697216,N1
LRP016c,16.402,Bridge,Bridge end,23.6583056,90.5709993,N1
LRP017,16.524,Km Post,Km post missing,23.6575,90.5719716,N1
LRP017a,16.831,Bridge,Bridge start,23.6559722,90.5743327,N1
LRP017b,16.852,Bridge,Bridge end,23.6559167,90.5745271,N1
LRP017c,17.204,Bridge,Bridge start,23.6540556,90.5772771,N1
LRP017d,17.234,Bridge,Bridge end,23.6539167,90.5774993,N1
LRP018,17.524,Km Post,Km post missing,23.6525278,90.5798882,N1
LRP018a,17.863,Bridge,Bridge start,23.6508889,90.5826382,N1
LRP018b,17.904,Bridge,Bridge end,23.6506944,90.5829993,N1
LRP019,18.524,Km Post,Km post missing,23.6476108,90.588083,N1
LRP019a,18.878,Culvert,Box culvert,23.6449441,90.5899163,N1
LRP019b,19.521,Culvert,Box culvert,23.6397497,90.5926941,N1
LRP020,19.524,Km Post,Km post missing,23.6396941,90.5927219,N1
LRP020a,20.044,"Side Road, Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),23.6358608,90.5948052,N1
LRP020b,20.342,Bridge,Bridge start,23.6341108,90.5970274,N1
LRP020c,20.442,Bridge,Bridge end,23.6335552,90.5976941,N1
LRP021,20.524,Km Post,Km post missing,23.6330549,90.5982774,N1
LRP021a,21.499,Culvert,Box culvert,23.6262771,90.6042222,N1
LRP022,21.629,Km Post,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,N1
LRP022a,21.765,Bridge,Bridge start,23.6242216,90.6055278,N1
LRP022b,21.993,Bridge,Bridge end,23.6224993,90.6066944,N1
LRP022c,22.252,Bridge,Bridge start,23.6204716,90.6079722,N1
LRP022d,22.374,Bridge,Bridge end,23.6195271,90.6085833,N1
LRP023,22.629,Km Post,Km post missing,23.6173604,90.6096944,N1
LRP023a,23.564,Bridge,Meghna  bridge,23.6095556,90.6121944,N1
LRP024,23.629,Km Post,Km post missing,23.609,90.6124722,N1
LRP024a,24.503,Bridge,Bridge end,23.6018611,90.6159722,N1
LRP025,24.629,Km Post,Km post missing,23.6009444,90.6165556,N1
LRP026,25.629,Km Post,Km post missing,23.5959997,90.624666,N1
LRP026a,25.639,Culvert,Box culvert,23.5959441,90.6246938,N1
LRP026b,26.313,Culvert,Box culvert,23.5917497,90.6293327,N1
LRP027,26.629,Km Post,Km post missing,23.5896108,90.6313882,N1
LRP027a,27.503,Bridge,Bridge start,22.5837497,90.6369441,N1
LRP028,27.629,Km Post,Km post missing,23.5828327,90.6378886,N1
LRP028a,27.668,Bridge,Bridge end,23.5825827,90.6381386,N1
LRP028b,28.324,Bridge,Bridge start,23.577916,90.6419719,N1
LRP028c,28.363,Bridge,Bridge end,23.5776104,90.6421108,N1
LRP029,28.759,Km Post,Information missing,23.5745271,90.6436941,N1
LRP029a,29.067,Bridge,Bridge start,23.572166,90.6451108,N1
LRP029b,29.113,Bridge,Bridge end,23.5718327,90.6453052,N1
LRP030,29.759,Km Post,Km post missing,23.5666111,90.6481663,N1
LRP030a,30.127,Bridge,Bridge start,23.5639167,90.6501944,N1
LRP030b,30.165,Bridge,Bridge end,23.5636944,90.6504722,N1
LRP030c,30.697,Bridge,Bridge start,23.5604167,90.6542222,N1
LRP030d,30.735,Bridge,Bridge end,23.5602222,90.6545,N1
LRP031,30.774,Km Post,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,N1
LRP031a,30.936,"Side Road, Right",Road to Gazara (Z1063),23.5590278,90.6559444,N1
LRP031b,31.348,Bridge,Bridge start,23.5564444,90.6588611,N1
LRP031c,31.388,Bridge,Bridge end,23.5562222,90.6591389,N1
LRP032,31.783,Km Post,"Ctg 228 km,Comilla 61 km",23.5538056,90.6619722,N1
LRP032a,32.025,Culvert,Box culvert,23.5523333,90.6636667,N1
LRP033,32.607,Km Post,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,N1
LRP033a,32.831,Bridge,Bridge start,23.5474163,90.6694438,N1
LRP033b,32.908,Bridge,Bridge end,23.5469441,90.6699993,N1
LRP033c,33.351,Culvert,Box culvert,23.5442219,90.6731104,N1
LRP034,33.607,Km Post,Km post missing,23.542583,90.6749438,N1
LRP035,34.607,Km Post,Km post missing,23.5362497,90.681916,N1
LRP035a,34.641,Bridge,Bridge start,23.536083,90.6821382,N1
LRP035b,34.681,Bridge,Bridge end,23.5358608,90.6823604,N1
LRP035c,34.956,Culvert,Box culvert,23.5341386,90.6843052,N1
LRP036,35.607,Km Post,Km post missing,23.5301938,90.688833,N1
LRP036a,36.271,Bridge,Daudkandi bridge,23.529916,90.6952219,N1
LRP037,36.607,Km Post,Km post missing,23.5301382,90.6984997,N1
LRP038,37.607,Km Post,Km post missing,23.5307493,90.7082778,N1
LRP038a,37.685,Bridge,Daudkandi bridge,23.5307771,90.7090278,N1
LRP038b,38.04,Others,Start of Comilla road Division,23.5313882,90.7153611,N1
LRP038b,38.04,Others,Start of Comilla road Division,23.5313882,90.7153611,N1
LRP038c,38.466,"Side Road, Right",Road to Matlab (Z1062),23.5314716,90.7172216,N1
LRP038d,38.543,Bridge,Bridge start,23.5315271,90.7173604,N1
LRP038e,38.56,Bridge,Bridge end,23.5315827,90.7176104,N1
LRP039,38.607,Km Post,Km post missing,23.5317216,90.7180271,N1
LRP039a,39.12,Culvert,Box culvert,23.5168049,90.7226382,N1
LRP040,39.607,Km Post,Km post missing,23.5327216,90.7269993,N1
LRP041,40.607,Km Post,Km post missing,23.528916,90.7356108,N1
LRP042,41.261,Km Post,Ctg 214 km,23.5289993,90.7419441,N1
LRP042a,42.228,Bridge,Bridge start,23.5293882,90.7514167,N1
LRP042b,42.245,Bridge,Bridge end,23.5293882,90.7515833,N1
LRP043,42.269,Km Post,Km post broken,23.529416,90.75175,N1
LRP044,43.269,Km Post,Km post Missing,23.5299993,90.7615,N1
LRP045,44.269,Km Post,Km post Missing,23.5304438,90.7713049,N1
LRP045a,44.454,Culvert,Box culvert,23.5304993,90.7731104,N1
LRP046,45.269,Km Post,Km post Missing,23.5308049,90.7811104,N1
LRP046a,45.322,"Side Road, Right","Z1402, road to Pennai",23.5307493,90.7816104,N1
LRP046b,45.388,"Side Road, Left","Z1053, Road to Homna",23.530666,90.7821938,N1
LRP046c,46.161,Culvert,Box culvert,23.5312216,90.7895552,N1
LRP047,46.269,Km Post,Km post Missing,23.531166,90.7907219,N1
LRP047a,47.224,"Side Road, Right",Z1044,23.5306938,90.7924441,N1
LRP048,47.269,Km Post,Km post Missing,23.5308604,90.8002222,N1
LRP048a,47.672,Bridge,Bridge start,23.5308882,90.8041389,N1
LRP048b,47.692,Bridge,Bridge end,23.530916,90.8043611,N1
LRP049,48.269,Km Post,Km post Missing,23.5316382,90.8099167,N1
LRP050,49.269,Km Post,Km post Missing,23.5332493,90.8194716,N1
LRP050a,49.863,Bridge,Bridge start,23.5346663,90.8249716,N1
LRP050b,49.879,Bridge,Bridge end,23.5347219,90.8251104,N1
LRP051,50.269,Km Post,Km post Missing,23.5344997,90.8287216,N1
LRP052,51.269,Km Post,Km post Missing,23.5292216,90.8365274,N1
LRP052a,51.636,Culvert,Box culvert,23.5270549,90.8391386,N1
LRP053,52.269,Km Post,Km post Missing,23.523166,90.8438886,N1
LRP054,53.269,Km Post,Km post Missing,23.5174993,90.8513889,N1
LRP055,54.269,Km Post,Km post Missing,23.5170827,90.8607778,N1
LRP056,55.269,Km Post,Km post Missing,23.5135833,90.8697771,N1
LRP056a,55.333,Bridge,Bridge start,23.5133056,90.8703049,N1
LRP056b,55.375,Bridge,Bridge end,23.5131111,90.8706382,N1
LRP056c,55.477,"Side Road, Left","Z1042, road to Bancharampur",23.5126667,90.871416,N1
LRP057,56.269,Km Post,Km post Missing,23.5088056,90.8778604,N1
LRP058,57.269,Km Post,Km post Missing,23.506,90.8869163,N1
LRP058a,58.191,Culvert,Box culvert,23.5056111,90.8958886,N1
LRP059,58.269,Km Post,Km post Missing,23.5056389,90.8966108,N1
LRP060,59.269,Km Post,Km post Missing,23.5062778,90.9063889,N1
LRP060a,60.18,Culvert,Box culvert,23.50575,90.91525,N1
LRP061,60.269,Km Post,Km post Missing,23.5057222,90.9160278,N1
LRP062,61.269,Km Post,Km post Missing,23.5055278,90.9257216,N1
LRP063,62.269,Km Post,Km post Missing,23.5042778,90.9354163,N1
LRP063a,62.278,"Side Road, Left","Z1017, Road to Companiganj",23.5043333,90.9354719,N1
LRP063b,62.542,Culvert,Box culvert,23.5038611,90.9371386,N1
LRP063c,62.894,Culvert,Box culvert,23.5028611,90.9412774,N1
LRP064,63.269,Km Post,Km post Missing,23.5020278,90.9448886,N1
LRP065,64.269,Km Post,Km post Missing,22.4995274,90.9541667,N1
LRP066,65.269,Km Post,Km post Missing,23.4986386,90.9651111,N1
LRP066a,65.543,Culvert,Box culvert,23.4980552,90.9660278,N1
LRP067,65.726,Km Post,Ctg 191 km,23.4972774,90.9674716,N1
LRP068,66.726,Km Post,Km post Missing,23.4942219,90.9765549,N1
LRP068a,67.42,Culvert,Box culvert,23.4951386,90.9829993,N1
LRP069,67.726,Km Post,Km post Missing,23.4942497,90.985833,N1
LRP070,68.726,Km Post,Km post Missing,23.4911386,90.9950274,N1
LRP070a,69.616,"Side Road, Left",Road to Debiduar (Z1008),23.4894441,91.0033056,N1
LRP070b,69.638,"Side Road, Right",Road to Jhalam (Z1022),23.4893886,91.0034722,N1
LRP071,69.709,Km Post,Ctg 188 km,23.4896108,91.0043056,N1
LRP072,70.443,Km Post,"Ctg 188 km,Comilla 20 km",23.4893052,91.0112778,N1
LRP072a,70.527,Bridge,Bridge start,23.4890552,91.0120278,N1
LRP072b,70.557,Bridge,Bridge end,23.4889441,91.01225,N1
LRP073,70.755,Km Post,Ctg 187 km,23.488333,91.0140833,N1
LRP074,71.775,Km Post,Km post missing,23.4846386,91.0229438,N1
LRP075,72.775,Km Post,Km post missing,23.4827771,91.0321382,N1
LRP075a,73.688,Culvert,Box culvert,23.481166,91.0404441,N1
LRP076,73.829,Km Post,Ctg 184 km,23.4814716,91.0419719,N1
LRP076a,74.7,Culvert,Box culvert,23.4820827,91.0504167,N1
LRP077,74.829,Km Post,Km post missing,23.4821382,91.0516944,N1
LRP077a,75.589,"Side Road, Left",Road to Khangsanagar (Z1219) left road to Barua Z1028 right,23.4815271,91.0590278,N1
LRP078,75.829,Km Post,Km post missing,23.4815549,91.0613611,N1
LRP079,76.829,Km Post,Km post missing,23.4801104,91.0706382,N1
LRP079a,77.773,Culvert,Box culvert,23.4770827,91.0789993,N1
LRP080,77.829,Km Post,Km post missing,23.4770271,91.0794716,N1
LRP081,78.829,Km Post,Km post missing,23.4781938,91.0889997,N1
LRP082,79.829,Km Post,Km post missing,23.4775549,91.0986663,N1
LRP082a,80.342,Culvert,Box culvert,23.4778604,91.1036111,N1
LRP083,80.829,Km Post,Km post missing,23.4779993,91.1055278,N1
LRP083a,81.801,Culvert,Box culvert,23.4789438,91.1177216,N1
LRP084,81.829,Km Post,Km post missing,23.4789716,91.1179993,N1
LRP084a,81.846,"Side Road, Left",Road to Brahmanbaria(N102),23.4789716,91.118166,N1
LRP084b,82.393,Culvert,Box culvert,23.4793327,91.1234716,N1
LRP085,82.829,Km Post,Km post missing,23.4800827,91.1276382,N1
LRP086,83.829,Km Post,Km post missing,23.4767216,91.1364441,N1
LRP087,84.829,Km Post,Km post missing,23.4682216,91.1394441,N1
LRP088,85.829,Km Post,Km post missing,23.4595833,91.1421386,N1
LRP088a,85.897,Cross Road,Cross road Z1029,23.459,91.142333,N1
LRP089,86.829,Km Post,Km post missing,23.4513056,91.1460552,N1
LRP089a,87.132,Bridge,Bridge start,23.448833,91.1471386,N1
LRP089b,87.156,Bridge,Bridge end,23.4486386,91.1472497,N1
LRP089c,87.366,Cross Road,Cross Road with Z1052,23.4469441,91.1481386,N1
LRP090,87.829,Km Post,Km post missing,23.4425274,91.1497774,N1
LRP091,88.513,Km Post,Ctg 170 km,23.4373886,91.1521944,N1
LRP092,89.513,Km Post,Km post missing,23.4288882,91.1553889,N1
LRP093,90.493,Km Post,Ctg 168 km,23.4236938,91.1626944,N1
LRP093a,90.521,Bridge,Bridge start,23.4235827,91.1629722,N1
LRP093b,90.558,Bridge,Bridge end,23.423416,91.1632778,N1
LRP093c,91.066,Rail Road Crossing,Rail Road Crossing,23.4213604,91.167666,N1
LRP094,91.493,Km Post,Km post missing,23.4195271,91.171416,N1
LRP094a,91.583,Cross Road,Left to Comilla Right to Noakhali,23.4191382,91.1721938,N1
LRP095,92.121,Km Post,"Ctg 66 km,Feni 52 km",23.4149444,91.1801382,N1
LRP095a,92.632,Bridge,Bridge start,23.4131111,91.1846663,N1
LRP095b,92.66,Bridge,Bridge end,23.4130556,91.1849163,N1
LRP096,93.121,Km Post,Km post missing,23.4125,91.1893886,N1
LRP097,94.129,Km Post,Ctg 164 km,23.4113056,91.1988886,N1
LRP098,95.156,Km Post,Ctg 163 km,23.4100833,91.2087778,N1
LRP098a,95.193,Culvert,Box culvert,23.4100278,91.2090833,N1
LRP099,96.173,Km Post,Ctg 162 km,23.4048056,91.2165278,N1
LRP099a,96.345,Bridge,Bridge start,23.40375,91.2176382,N1
LRP099b,96.374,Bridge,Bridge end,23.4035556,91.2178049,N1
LRP100,97.173,Km Post,Km post missing,23.4151111,91.2232493,N1
LRP101,98.173,Km Post,Km post missing,23.3915274,91.2292493,N1
LRP101a,98.183,Culvert,Box culvert,23.3914441,91.2293049,N1
LRP101b,99.075,Culvert,Box culvert,23.385083,91.2345552,N1
LRP101c,99.09,Culvert,Box culvert,23.3849719,91.2346108,N1
LRP102,99.173,Km Post,Km post missing,23.3843886,91.2351108,N1
LRP102a,100.071,Bridge,Bridge start,23.3779716,91.2403608,N1
LRP102b,100.101,Bridge,Bridge end,23.3777493,91.2405274,N1
LRP103,100.173,Km Post,Km post missing,23.377166,91.2409163,N1
LRP104,101.173,Km Post,Km post missing,23.3695827,91.2462774,N1
LRP104a,101.344,Culvert,Box culvert,23.3683327,91.2471108,N1
LRP105,102.248,Km Post,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,N1
LRP105a,102.614,Bridge,Bridge start,23.3586389,91.25325,N1
LRP105b,102.638,Bridge,Bridge end,23.3584444,91.2533333,N1
LRP106,103.248,Km Post,Km post missing,23.3536944,91.2561389,N1
LRP106a,103.935,Culvert,Box culvert,23.3486386,91.2599444,N1
LRP107,104.248,Km Post,Km post missing,23.3463608,91.2616944,N1
LRP108,105.248,Km Post,Km post missing,22.3390552,91.2672216,N1
LRP108a,105.692,Bridge,Bridge start,23.3360274,91.2700549,N1
LRP108b,105.736,Bridge,Bridge end,23.3357219,91.2703049,N1
LRP108c,105.879,"Side Road, Right",Road to Harishchar (Z1046),23.3347219,91.271166,N1
LRP109,106.248,Km Post,Km post missing,23.3321938,91.2734716,N1
LRP110,107.248,Km Post,Km post missing,23.3246382,91.278666,N1
LRP110a,107.321,Bridge,Bridge start,23.324166,91.2791104,N1
LRP110b,107.331,Bridge,Bridge end,23.3240827,91.279166,N1
LRP111,108.248,Km Post,Km post missing,23.3171382,91.2836941,N1
LRP111a,108.518,Bridge,Bridge start,23.3149444,91.2844719,N1
LRP111b,108.537,Bridge,Bridge end,23.31475,91.2845552,N1
LRP111c,109.135,Culvert,Box culvert,23.3096389,91.2861386,N1
LRP112,109.248,Km Post,Km post missing,23.3086944,91.2864163,N1
LRP112a,109.795,Culvert,Box culvert,23.30425,91.288583,N1
LRP113,110.248,Km Post,Km post missing,23.3006111,91.290333,N1
LRP113a,110.767,Bridge,Bridge start,23.296083,91.2914997,N1
LRP113b,110.781,Bridge,Bridge end,23.2959719,91.2915274,N1
LRP114,111.248,Km Post,Km post missing,23.2919163,91.2922219,N1
LRP114a,111.75,Culvert,Box culvert,23.2876663,91.2936386,N1
LRP115,112.248,Km Post,Km post missing,23.283583,91.2952219,N1
LRP115a,113.022,Culvert,Box culvert,23.2787216,91.3002778,N1
LRP116,113.248,Km Post,Km post missing,23.2768882,91.3011944,N1
LRP117,114.248,Km Post,Km post missing,23.2686382,91.3049722,N1
LRP117a,114.364,Culvert,Box culvert,23.2677493,91.3054722,N1
LRP117b,114.641,Culvert,Box culvert,23.2654444,91.3064444,N1
LRP117c,114.844,Culvert,Box culvert,23.2636667,91.30675,N1
LRP118,115.248,Km Post,Km post missing,23.2601111,91.3072778,N1
LRP118a,115.404,Culvert,Box culvert,23.2587222,91.3074444,N1
LRP119,116.248,Km Post,Km post missing,23.2511944,91.3086389,N1
LRP119a,116.422,Culvert,Box culvert,23.249833,91.3091944,N1
LRP119b,116.608,Bridge,Bridge start,23.248333,91.3098056,N1
LRP119c,116.631,Bridge,Bridge end,23.2481663,91.3098889,N1
LRP119d,116.978,Culvert,Box culvert,23.2452774,91.3110556,N1
LRP120,117.248,Km Post,Km post missing,23.243083,91.3119167,N1
LRP120a,117.411,Culvert,Box culvert,23.2416941,91.3123611,N1
LRP120b,118.228,Culvert,Box culvert,23.2344997,91.3131667,N1
LRP121,118.248,Km Post,Km post missing,23.2343052,91.3131667,N1
LRP121a,118.563,Culvert,Box culvert,23.2314993,91.3132222,N1
LRP121b,119.011,Culvert,Box culvert,23.2275549,91.3135278,N1
LRP122,119.248,Km Post,Km post missing,23.2253882,91.3135833,N1
LRP122a,119.698,"Side Road, Right",Road to Bangadda (Z1045),23.221416,91.3137222,N1
LRP122b,120.026,Culvert,Box culvert,23.2184993,91.3143889,N1
LRP123,120.248,Km Post,Km post missing,23.2165556,91.3149167,N1
LRP123a,120.966,Culvert,Box culvert,23.2103056,91.3157222,N1
LRP124,121.248,Km Post,Km post missing,23.2078889,91.3159722,N1
LRP124a,122.019,Culvert,Box culvert,23.201,91.3168049,N1
LRP125,122.248,Km Post,Km post missing,23.1990274,91.3170549,N1
LRP125a,123.113,Culvert,Box culvert,23.1921108,91.3185549,N1
LRP126,123.248,Km Post,Km post missing,23.1909997,91.3192493,N1
LRP126a,123.771,Bridge,Bridge start,23.1866941,91.3212493,N1
LRP126b,123.783,Bridge,Bridge end,23.1866108,91.3212771,N1
LRP127,124.248,Km Post,Km post missing,23.1826382,91.3210827,N1
LRP127a,124.862,Culvert,Box culvert,23.1773604,91.3198049,N1
LRP128,125.377,Km Post,Ctg 133 km,23.172916,91.3205271,N1
LRP128a,125.923,Bridge,Bridge start,23.1681382,91.3213604,N1
LRP128b,125.937,Bridge,Bridge end,23.1680549,91.3213604,N1
LRP129,126.377,Km Post,Km post missing,23.1641389,91.3214993,N1
LRP129a,127.169,Culvert,Box culvert,23.1571667,91.3224993,N1
LRP130,127.377,Km Post,Km post missing,23.1554167,91.3232771,N1
LRP130a,128.009,"Side Road, Right",Road to Nangolhat (Z1048),23.1496941,91.3254993,N1
LRP130b,128.278,Culvert,Box culvert,23.1480274,91.3264993,N1
LRP131,128.377,Km Post,Km post missing,23.1471663,91.3266938,N1
LRP131a,128.798,Culvert,Box culvert,23.1433886,91.326666,N1
LRP132,129.377,Km Post,Km post missing,23.1382219,91.3263049,N1
LRP132a,129.479,Culvert,Box culvert,23.1374163,91.3264716,N1
LRP133,130.377,Km Post,Km post missing,23.1295827,91.3284993,N1
LRP133a,130.447,Culvert,Box culvert,23.1290827,91.3287216,N1
LRP133b,131.122,Culvert,Box culvert,23.1234993,91.3311382,N1
LRP134,131.377,Km Post,Km post missing,23.1213327,91.3320549,N1
LRP134a,131.625,Culvert,Box culvert,23.1193049,91.3329993,N1
LRP135,131.653,Km Post,"Ctg 127 km,Feni 16 km",23.1191382,91.3330827,N1
LRP136,132.653,Km Post,Km post missing,23.1113611,91.3378052,N1
LRP136a,132.728,Culvert,Box culvert,23.1108056,91.3381386,N1
LRP136b,133.448,Culvert,Box culvert,23.1051111,91.3413608,N1
LRP137,133.653,Km Post,Km post missing,23.1035,91.3422497,N1
LRP137a,134.021,Culvert,Box culvert,23.1005833,91.3437774,N1
LRP137b,134.571,Culvert,Box culvert,23.0961941,91.3461108,N1
LRP138,134.653,Km Post,Km post missing,23.095583,91.3464441,N1
LRP138a,135.341,Culvert,Box culvert,23.0901108,91.3494163,N1
LRP139,135.653,Km Post,Km post missing,23.0876108,91.3508889,N1
LRP139a,135.998,Culvert,Box culvertt,23.0849719,91.3524722,N1
LRP139b,136.525,Bridge,Bridge start,23.0808049,91.3548611,N1
LRP139c,136.542,Bridge,Bridge end,23.0806938,91.3549444,N1
LRP140,136.735,Km Post,Ctg 122 km,23.0792493,91.3558333,N1
LRP140a,137.501,Culvert,Box culvert,23.0732493,91.3594167,N1
LRP141,137.735,Km Post,Km post missing,23.0712493,91.3599722,N1
LRP141a,138.01,Others,Start of Feni road Division,23.0688604,91.3607222,N1
LRP141a,138.01,Others,Start of Feni road Division,23.0688604,91.3607222,N1
LRP141b,138.621,Culvert,Box Culvert,23.0636944,91.3616389,N1
LRP142,138.639,Km Post,Ctg 103 km,23.0635278,91.3616389,N1
LRP142a,138.869,"Side Road, Right",Road to Karerhat (Z1031),23.0614722,91.3616667,N1
LRP143,139.751,Km Post,Ctg 102 km,23.0538611,91.3637222,N1
LRP143a,140.251,Cross Road,Z1031,23.0479441,91.3651389,N1
LRP144,140.772,Km Post,Ctg 101 km,23.0449719,91.3653611,N1
LRP144a,140.968,Culvert,Box culvert,23.0427774,91.3654444,N1
LRP144b,141.304,Rail Road Crossing,Rail Road Crossing,23.0398052,91.3656111,N1
LRP145,141.772,Km Post,Km post missing,23.0360274,91.36575,N1
LRP145a,142.507,Culvert,Box culvert,23.029416,91.3656389,N1
LRP146,142.794,Km Post,"Ctg 99 km,Feni 3 km",23.0269716,91.3655,N1
LRP146a,143.034,"Side Road, Right",Road to Biroli (Z1030),23.0248327,91.3655278,N1
LRP147,143.795,Km Post,"Ctg 98 km,Feni 2 km",23.0193604,91.3697771,N1
LRP147a,143.946,Culvert,Box culvert,23.0185271,91.3708327,N1
LRP147b,144.67,Culvert,Box culvert,23.0140833,91.3759716,N1
LRP148,144.795,Km Post,Km post missing,23.0132778,91.3769438,N1
LRP148a,145.409,Cross Road,Intersection with N104,23.0095556,91.3813604,N1
LRP149,145.795,Km Post,Km post missing,23.0095556,91.3813604,N1
LRP150,146.816,Km Post,Ctg 95 km,23.0018889,91.3920552,N1
LRP151,147.816,Km Post,Km post missing,22.9963886,91.3998052,N1
LRP151a,147.901,Bridge,Bridge start,22.9961941,91.4005,N1
LRP151b,147.924,Bridge,Bridge end,22.9960552,91.4006667,N1
LRP152,148.841,Km Post,"Ctg 93 km,Lalpole 1 km",22.9906941,91.4072222,N1
LRP152a,149.289,"Side Road, Left",Road to Feni Town (Z1034),22.9877774,91.41,N1
LRP152b,149.585,"Side Road, Right",Road to Sonagazi (Z1034),22.9858886,91.4120556,N1
LRP153,149.841,Km Post,Ctg 91 km,22.9842219,91.4137222,N1
LRP154,150.892,Km Post,Ctg 91 km,22.9774438,91.4205827,N1
LRP155,151.892,Km Post,Km post missing,22.9711382,91.4273882,N1
LRP156,152.892,Km Post,Km post missing,22.9663333,91.4356108,N1
LRP156a,153.672,Bridge,Bridge start,22.9624167,91.4416941,N1
LRP156b,153.781,Bridge,Bridge end,22.9618056,91.4424997,N1
LRP157,153.892,Km Post,Km post missing,22.9611667,91.4433886,N1
LRP158,154.935,Km Post,Ctg 87 km,22.9561389,91.4517778,N1
LRP159,155.935,Km Post,Km post missing,22.9514444,91.4600278,N1
LRP160,156.947,Km Post,"Ctg 85 km,Bairyahat 10 km",22.9479997,91.4689993,N1
LRP160a,157.685,"Side Road, Left",Road to Mounshirhat (Z1081),22.9483608,91.4761382,N1
LRP161,157.947,Km Post,Km post missing,22.9484997,91.4786938,N1
LRP162,158.955,Km Post,Ctg 83 km,22.9497497,91.4883608,N1
LRP163,159.955,Km Post,Km post missing,22.9497774,91.4980274,N1
LRP163a,160.243,Bridge,Bridge start,22.9496663,91.5007778,N1
LRP163b,160.454,Bridge,Bridge end,22.949583,91.5027778,N1
LRP164,160.963,Km Post,Ctg 81 kkm,22.9482774,91.50725,N1
LRP164a,161.582,"Side Road, Left",Road to Chhagalnaiya (Z1032),22.9439441,91.5108611,N1
LRP165,161.963,Km Post,Km post missing,22.940833,91.5124444,N1
LRP166,162.963,Km Post,Km post missing,22.9329716,91.5172216,N1
LRP167,163.963,Km Post,Km post missing,22.9248882,91.5213327,N1
LRP168,164.963,Km Post,Km post missing,22.9167216,91.5253882,N1
LRP168a,165.097,Bridge,Bridge start,22.9156667,91.5259438,N1
LRP168b,165.325,Bridge,Bridge end/Start of Chittagong Road Division,22.9138056,91.5268604,N1
LRP168b,165.325,Bridge,Bridge end/Start of Chittagong Road Division,22.9138056,91.5268604,N1
