LRP_No,Road_Chainage,LRP_Type,Description,Latitude_Decimal,Longitude_Decimal,Road
LRP413,408.134,Km Post,Teknaf 54 km,21.2462219,92.1364719,N1
LRP413a,408.434,"Side Road, Left","Z1503, Maricha Dukbanglow road",21.2447497,92.1389441,N1
LRP413b,408.817,Bridge,Bridge start,21.242333,92.1413608,N1
LRP413c,408.839,Bridge,Bridge end,21.2422219,92.1415552,N1
LRP414,409.141,Km Post,Teknaf 53 km,21.2412497,92.1440552,N1
LRP415,410.121,Km Post,Teknaf 52 km,21.2357774,92.1511667,N1
LRP416,411.119,Km Post,Teknaf 51km,21.236333,92.1586667,N1
LRP417,412.129,Km Post,Teknaf 50 km,21.2283604,92.1617222,N1
LRP417a,412.394,Culvert,Box culvert,21.2261382,92.1611667,N1
LRP417b,412.603,Culvert,Box culvert,21.2243327,92.1614444,N1
LRP418,413.131,Km Post,Info.Missing,21.2198049,92.1618611,N1
LRP418a,413.531,Culvert,Box culvert,21.2165556,92.1626944,N1
LRP418b,413.834,Culvert,Box culvert,21.2152778,92.1649722,N1
LRP418c,414.03,Culvert,Box culvert,21.2142778,92.166666,N1
LRP419,414.136,Km Post,Teknaf 47km,21.21375,92.1674438,N1
LRP419a,414.264,Culvert,Box culvert,21.2127222,92.1678882,N1
LRP419b,414.508,Culvert,Box culvert,21.2105833,92.1681382,N1
LRP419c,414.608,Culvert,Box culvert,21.2096944,92.168416,N1
LRP420,415.144,Km Post,Teknaf 46 km,21.2056389,92.1703327,N1
LRP420a,415.671,Culvert,Box culvert,21.2011389,92.170416,N1
LRP420b,415.919,Culvert,Box culvert,21.1989997,92.1703604,N1
LRP420c,416.044,"Side Road, Left","Z1504, Ukhia Gundum Road",21.1977219,92.1705549,N1
LRP421,416.157,Km Post,Info.Missing,21.1969441,92.1707493,N1
LRP421a,416.204,Culvert,Box culvert,21.1965552,92.1708604,N1
LRP421b,416.688,Bridge,Bridge start,21.1925552,92.1697216,N1
LRP421c,416.73,Bridge,Bridge end,21.1923052,92.1695271,N1
LRP421d,416.991,Culvert,Box culvert,21.1906108,92.167916,N1
LRP422,417.164,Km Post,Info.Missing,21.1897497,92.166666,N1
LRP422a,417.621,Culvert,Box culvert,21.1866386,92.1638056,N1
LRP422b,417.934,Bridge,Bridge start,21.1859441,92.1610833,N1
LRP422c,417.957,Bridge,Bridge end,21.185833,92.1609167,N1
LRP423,418.19,Km Post,Info.Missing,21.1843052,92.1594167,N1
LRP423a,418.889,Culvert,Box culvert,21.178666,92.1574722,N1
LRP424,419.18,Km Post,Info.Missing,21.1761938,92.1566111,N1
LRP424a,419.423,Culvert,Box culvert,21.1742771,92.1557222,N1
LRP424b,419.705,Culvert,Box culvert,21.1718327,92.1551389,N1
LRP424c,419.948,Bridge,Bridge start,21.1698049,92.1545833,N1
LRP424d,419.996,Bridge,Bridge end,21.1694993,92.1543056,N1
LRP424e,420.151,Culvert,Box culvert,21.168416,92.1532778,N1
LRP425,420.261,Km Post,Info.Missing,21.1677216,92.1527778,N1
LRP425a,420.326,Culvert,Box culvert,21.1673327,92.1524167,N1
LRP425b,420.579,Bridge,Bridge start,21.1652222,92.1521667,N1
LRP425c,420.611,Bridge,Bridge end,21.1649444,92.1521944,N1
LRP425d,420.806,Culvert,Box culvert,21.16325,92.1522222,N1
LRP425e,420.895,Culvert,Box Culvert,21.1624722,92.1522778,N1
LRP425f,421.131,Culvert,Box culvert,21.1604167,92.1525,N1
LRP426,421.239,Km Post,Info.Missing,21.1595,92.1526111,N1
LRP426a,421.26,Culvert,Box culvert,21.1593056,92.1526111,N1
LRP426b,421.333,Culvert,Box culvert,21.1586667,92.1525,N1
LRP426c,421.688,Culvert,Box culvert,21.1556389,92.1527778,N1
LRP426d,421.905,Culvert,Box culvert,21.1537778,92.1528611,N1
LRP426e,422.117,Culvert,Box culvert,21.1521944,92.1535278,N1
LRP427,422.315,Km Post,Info.Missing,21.1507222,92.1545,N1
LRP427a,422.853,Culvert,Box culvert,21.147333,92.1574167,N1
LRP427b,423.222,Bridge,Bridge start,21.1442774,92.1586389,N1
LRP427c,423.241,Bridge,Bridge end,21.1441663,92.1586944,N1
LRP428,423.322,Km Post,Teknaf 38 km,21.1435274,92.1589722,N1
LRP428a,423.57,Bridge,Bridge start,21.1414997,92.1599167,N1
LRP428b,423.631,Bridge,Bridge end,21.1410552,92.1602222,N1
LRP428c,424.234,Culvert,Box culvert,21.1381108,92.1648611,N1
LRP429,424.35,Km Post,Info.Missing,21.1379719,92.1659167,N1
LRP429a,424.473,Culvert,Box culvert,21.137833,92.1671104,N1
LRP429b,424.604,Culvert,Box culvert,21.1375552,92.1683049,N1
LRP429c,424.875,Culvert,Box culvert,21.1372219,92.1708882,N1
LRP429d,425.075,Culvert,Box culvert,21.1371108,92.1727771,N1
LRP429e,425.195,Bridge,Bridge start,21.1368886,92.173916,N1
LRP429f,425.225,Bridge,Bridge end,21.1367219,92.1741382,N1
LRP430,425.353,Km Post,Info.Missing,21.1363886,92.1752493,N1
LRP430a,425.385,Culvert,Box culvert,21.1363608,92.1755549,N1
LRP430b,425.598,Culvert,Box culvert,21.1353886,92.1770827,N1
LRP430c,426.092,Bridge,Bridge start,21.1333886,92.1806938,N1
LRP430d,426.109,Bridge,Bridge end,21.1333608,92.1808327,N1
LRP430e,426.285,Culvert,Box culvert,21.1329438,92.1824438,N1
LRP431,426.382,Km Post,Info.Missing,21.1326938,92.183333,N1
LRP431a,426.542,Culvert,Box culvert,21.1319716,92.1846108,N1
LRP431b,426.716,Culvert,Box culvert,21.1309716,92.1856941,N1
LRP432,427.382,Km Post,Km post missing,21.1269438,92.1902219,N1
LRP432a,427.394,Culvert,Box culvert,21.1268327,92.1902774,N1
LRP432b,427.731,Culvert,Box culvert,21.1242771,92.1918886,N1
LRP432c,427.772,Culvert,Box culvert,21.1239993,92.1919997,N1
LRP432d,427.906,Culvert,Box culvert,21.1229993,92.1926663,N1
LRP432e,428.019,Culvert,Box culvert,21.122166,92.1931941,N1
LRP432f,428.104,Culvert,Box culvert,21.1214993,92.1935552,N1
LRP433,428.387,Km Post,Info.Missing,21.1198604,92.1954719,N1
LRP433a,428.498,Culvert,Box culvert,21.1190827,92.1960274,N1
LRP433b,428.691,Culvert,Box culvert,21.1175827,92.1966663,N1
LRP433c,428.818,Culvert,Box culvert,21.1165,92.1969163,N1
LRP433d,428.869,Culvert,Box culvert,21.1161389,92.1969997,N1
LRP433e,428.908,"Side Road, Right",Z1133 Road to Shaplapur,21.1158333,92.1971386,N1
LRP433f,428.995,Bridge,Bridge start,21.1151667,92.1975552,N1
LRP433g,429.073,Bridge,Bridge end,21.1146111,92.1979719,N1
LRP434,429.45,Km Post,Info.Missing,21.1121111,92.2002778,N1
LRP434a,429.497,Culvert,Box culvert,21.1118611,92.2006389,N1
LRP434b,429.812,Culvert,Box culvert,21.1090556,92.2045278,N1
LRP434c,430.242,Culvert,Box culvert,21.1078333,92.2058611,N1
LRP434d,430.44,Culvert,Box culvert,21.1078333,92.2069444,N1
LRP435,430.51,Km Post,Km post broken,21.1058333,92.20725,N1
LRP435a,430.574,Culvert,Box culvert,21.1053611,92.2073889,N1
LRP435b,430.694,Culvert,Box culvert,21.1043611,92.2075278,N1
LRP435c,430.901,Culvert,Box culvert,21.1026389,92.2077778,N1
LRP435d,431.073,Culvert,Box culvert,21.1012778,92.2081389,N1
LRP435e,431.293,Culvert,Box culvert,21.0996386,92.2091667,N1
LRP436,431.578,Km Post,Info.Missing,21.0975552,92.2105,N1
LRP436a,431.606,Culvert,Box culvert,21.097333,92.2106111,N1
LRP436b,432.005,Bridge,Bridge start,21.0939441,92.2118611,N1
LRP436c,432.041,Bridge,Bridge end,21.0936663,92.2119444,N1
LRP436d,432.199,Culvert,Box culvert,21.0923052,92.2123333,N1
LRP436e,432.434,Culvert,Box culvert,21.090333,92.2129444,N1
LRP437,432.578,Km Post,Km post missing,21.0891941,92.2135,N1
