Join_Count,DISTANCE,TARGET_FID,road,id,model_type,name,lat,lon,length,condition,lrp,ZONE,AFFECTED,DISTNAME,NEWFIELD1
1,0.019838497765200,53,N1,1001614,bridge,Bridge start,20.864847250000000,92.298221900000001,0,B,LRP466b,II, ,Cox'S Bazar,A
1,0.003490104656180,54,N2,2000217,bridge,OLD BRAMMAPULRA,24.057333350000000,90.963319450000000,429,C,LRP069a,II, ,Narsingdi,D
1,0.000816886393515,55,N2,2000306,bridge,Bridge start,24.042805200000000,91.180457700000005,0,B,LRP094c,II, ,Brahamanbaria,D
1,0.000937107402769,56,N2,2000997,bridge,OMON PUR,24.972666000000000,92.032832700000000,7,A,LRP249a,I, ,Sylhet,D
1,0.003087994823450,57,N2,2001060,bridge,Boro Gung Bridge (2 bridges at crossing),25.125638200000001,92.116305550000007,88,A,LRP269a,I, ,Sylhet,D
1,0.000196079390360,58,N2,2001125,bridge,Bridge start,25.161152749999999,92.017304899999999,0,B,LRP287a,I, ,Sylhet,A
1,0.008392805200640,8,N1,1001425,bridge,KUTUB DIA PARA CULVERT,21.093805199999998,92.211902749999993,3,A,LRP436b,II, ,Cox'S Bazar,D
1,0.008896488229950,9,N1,1001428,bridge,KUTUB - DIA PARA (3),21.092305199999998,92.212333299999997,4,A,LRP436d,II, ,Cox'S Bazar,D
1,0.000219469487604,0,N1,1000042,bridge,Langalbandhu bridge,23.658708350000001,90.570360449999995,0,B,LRP016b,II, ,Narayanganj,D
1,0.000195594392355,1,N1,1000070,bridge,SANGAKADI CULVERT,23.619999350000001,90.608277749999999,6,B,LRP022c,II, ,Narayanganj,B
1,0.000956080851597,2,N1,1000652,bridge,Bridge start,22.355444450000000,91.853069450000007,0,B,LRP246a,II, ,Chittagong,D
