road,id,model_type,name,lat,lon,length,condition,lrp,ZONE,NEWFIELD1,AFFECTED
N1,1000793,bridge,NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT,22.1208049,92.0719438,20,A,LRP291b,II,D,
N1,1000796,bridge,KARANERHAT CULVERT,22.1133056,92.0726938,5,A,LRP292a,II,D,
N1,1000810,bridge,RAJGHATA BRIDGE (2 bridges at crossing),22.06987435,92.10391665,30,A,LRP298a,II,D,
N1,1000814,bridge,Khoria Nagar Bridge (2 bridges at crossing),22.0640139,92.10704165,38,A,LRP299a,II,D,
N1,1000817,bridge,NOYA PARA BOX CULVERT,22.0605556,92.1078056,2,A,LRP299c,II,D,
N1,1000820,bridge,PODUA NOYA PARA BOX CULVERT,22.0568611,92.1090833,8,A,LRP300a,II,D,
N1,1000822,bridge,PODUA BAZAR BOX CULVERT,22.0522778,92.1091111,13,A,LRP300b,II,D,
N1,1000825,bridge,PODUA BAZAR BOX CULVERT,22.0486386,92.1082222,6,A,LRP301a,II,D,
N1,1000828,bridge,BARO AWLIA(R),22.0443052,92.1073056,14,A,LRP301c,II,D,
N1,1000831,bridge,TALOCKDNR PARA BOX CULVERT (2 bridges at crossing),22.0379163,92.104,2,A,LRP302a,II,D,
N1,1000834,bridge,AMIRABAD BOX CULVERT,22.0320827,92.1041667,2,A,LRP303a,II,D,
N1,1000840,bridge,AMIRABAD LOHAGORA BOX CULVERT,22.0205549,92.1015,10,A,LRP305a,II,D,
N1,1000843,bridge,LOHAGORA L.S BOX CULVERT,22.0077222,92.0927497,3,A,LRP306a,II,D,
N1,1000846,bridge,DIGIRPARK BOX CULVERT,22.0039167,92.0904163,13,A,LRP307a,II,D,
N1,1000852,bridge,ZADUNAGOR BUS STATION BOX CULVERT,21.9911386,92.08599965,14,A,LRP308c,II,D,
N1,1000857,bridge,Aadunagor bridge (2 bridges at crossing),21.98613855,92.08348575,24,A,LRP309b,II,D,
N1,1000861,bridge,HATIAR PULL PC GIDER BRIDGE (2 bridges at crossing),21.98108265,92.07998545,22,A,LRP310a,II,D,
N1,1000890,bridge,AZIZNAGOR BOX CULVERT,21.9177216,92.0597778,2,A,LRP318a,II,D,
N1,1000900,bridge,HARBHANG CHOR,21.8908886,92.0596667,14,A,LRP321b,II,D,
N1,1000903,bridge,GHOIL MARA BOX CULVERT,21.8810271,92.0589722,9,A,LRP322a,II,D,
N1,1000906,bridge,HARBANG,21.874916,92.0591111,3,A,LRP323a,II,D,
N1,1000909,bridge,HARBANG,21.8625,92.0595,3,A,LRP324a,II,D,
N1,1000912,bridge,HARBANGCHORA (2 bridges at crossing),21.8594722,92.0603611,56,A,LRP325a,II,D,
N1,1000927,bridge,BODOI TOLA RCC GIDER BRIDGE (2 bridges at crossing),21.82548545,92.07247155,46,A,LRP329a,II,D,
N1,1000930,bridge,BODAITALI BOX CULVERT,21.8208882,92.0741104,12,A,LRP329c,II,D,
N1,1000933,bridge,BODOITOLI BOX CULVERT,21.8179716,92.073916,14,A,LRP330a,II,D,
N1,1000966,bridge,PASIYAKALI (2) (2 bridges at crossing),21.72981875,92.083833,39,A,LRP340c,II,D,
N1,1000981,bridge,Bridge start,21.67448545,92.07658265,0,B,LRP347a,II,D,
N1,1000989,bridge,Bridge start,21.6560278,92.0751382,0,B,LRP349a,II,D,
N1,1000993,bridge,PAGOLARIBIL,21.649458,92.0733049,4,A,LRP350a,II,D,
N1,1001027,bridge,Eidgaon Bazar Bridge (2 bridges at crossing),21.55509725,92.06786045,46,A,LRP362a,II,D,
N1,1001070,bridge,Mitacmari Ramu Bridge (2 bridges at crossing),21.441958,92.1007639,59,A,LRP376c,II,D,
N1,1001074,bridge,MARULA (WEST),21.4375552,92.0984997,3,A,LRP377a,II,D,
N1,1001076,bridge,MARULA BOX CULVERT,21.434583,92.0973886,2,A,LRP377b,II,D,
N1,1001192,bridge,DHALLA SLAB CULVERT,21.3752493,92.0727771,2,C,LRP395e,II,D,
N1,1001195,bridge,PANAR CHORI SLAB CULVERT,21.3745549,92.0739716,1,A,LRP395g,II,D,
N1,1001199,bridge,PANCR CHAR SLAB CULVERT,21.3736938,92.0768327,1,C,LRP396a,II,D,
N1,1001203,bridge,TELA BAGAN SLAB CULVERT,21.3698327,92.0796104,1,A,LRP396d,II,D,
N1,1001205,bridge,PARARHORA CULVERT,21.3678882,92.0803327,1,B,LRP396e,II,D,
N1,1001210,bridge,TULA BAGAN,21.3644167,92.081416,1,B,LRP397b,II,D,
N1,1001212,bridge,TOLA BAGAN,21.3615,92.0806382,2,B,LRP397c,II,D,
N1,1001217,bridge,NORTH CONIA PARA BOX CULVERT,21.3563333,92.0790827,4,A,LRP398b,II,D,
N1,1001222,bridge,CONIA PARA,21.3462497,92.0790132,11,C,LRP399a,II,D,
N1,1001230,bridge,Khulna Plong Bridge,21.3296521,92.07886045,0,B,LRP401a,II,D,
N1,1001234,bridge,JASOYA PALONG RCC GIDER BRIDGE,21.32395765,92.08552745,5,C,LRP402a,II,D,
N1,1001237,bridge,Jasoya check post.,21.3207493,92.0893052,1,B,LRP402c,II,D,
N1,1001240,bridge,Bridge start,21.31786045,92.092208,0,B,LRP403a,II,D,
N1,1001244,bridge,Bridge start,21.3123472,92.09651355,0,B,LRP403d,II,D,
N1,1001252,bridge,Bridge start,21.29531915,92.0993886,0,B,LRP405b,II,D,
N1,1001257,bridge,COURT BAZAR,21.2839441,92.1005278,10,A,LRP407a,II,D,
N1,1001259,bridge,COURT BAZAR,21.28272176,92.10068713,10,A,LRP407b,II,D,
N1,1001266,bridge,EJILA,21.26780485,92.10891665,11,C,LRP409b,II,D,
N1,1001271,bridge,Bridge start,21.2638472,92.1143333,0,B,LRP410a,II,D,
N1,1001274,bridge,Bridge start,21.26230555,92.11623615,0,B,LRP410c,II,D,
N1,1001278,bridge,JADIMORA (3),21.2565278,92.1229438,17,A,LRP411a,II,D,
N1,1001281,bridge,JADIMORA (1),21.2550278,92.1245827,2,A,LRP411c,II,D,
N1,1001283,bridge,WEST OGALA,21.2537778,92.1266382,11,C,LRP411d,II,D,
N1,1001287,bridge,OKYIA STATION,21.25044445,92.1307493,8,C,LRP412b,II,D,
N1,1001290,bridge,UKLIA-SHAHABMARKAT,21.24804135,92.13416635,2,C,LRP412d,II,D,
N1,1001295,bridge,Bridge start,21.24227745,92.141458,0,B,LRP413b,II,D,
N1,1001334,bridge,Changkhali Boro Bridge (2 bridges at crossing),21.1696521,92.15444445,22,A,LRP424c,II,D,
N1,1001337,bridge,JAM TOLI BOX CULVERT,21.168416,92.1532778,3,A,LRP424e,II,D,
N1,1001341,bridge,DAIM PARA CULVERT,21.1650833,92.15218055,5,A,LRP425b,II,D,
N1,1001346,bridge,DAIM PARA CULVERT,21.1604167,92.1525,3,A,LRP425f,II,D,
