bridge_id,broken_pairs,broken_pct,road,name,avg_trucks_crossed,betweenness,combined_score,criticality_rank
1000636,90,29.41,N1,Bridge start,16917.7,0.4244286065372327,0.648049492201173,58
1000642,90,29.41,N1,Bridge start,16918.5,0.4232766488979557,0.6473680317021713,59
1000530,90,29.41,N1,MOHADAB PUR BOX CULVERT,16922.2,0.4433454087105589,0.6596468204863903,60
1000541,90,29.41,N1,HATILOTA BOX CULVERT,16922.7,0.4415086077841598,0.6585423413148732,61
1000501,90,29.41,N1,TARAT BOX CULVERT,16921.2,0.4480477254092567,0.6624808094177981,62
1000527,90,29.41,N1,MOHADAB PUR BOX CULVERT,16922.2,0.443841279714502,0.6599481037298347,63
1000435,90,29.41,N1,MAMAFOUN ASTANA CULVERT,16923.9,0.4579919689196174,0.6685850419654092,64
1000522,90,29.41,N1,UTTOR SITAKONDO BAZAR BOX CULVERT,16922.2,0.4446628983370197,0.6604473059850543,65
1000381,90,29.41,N1,Bridge start,16923.3,0.4653452139386149,0.6730389175046909,66
1000391,90,29.41,N1,Lemua Bridge(L) (2 bridges at crossing),16922.3,0.4640366654559874,0.6722208014665891,67
1000411,90,29.41,N1,DumGhat Bridge(L) (2 bridges at crossing),16923.9,0.4613470727299221,0.6706235490570178,68
1000425,90,29.41,N1,CHAIRMEN BARI BOX CULVERT,16923.9,0.4594068445181001,0.6694446976137359,69
1000427,90,29.41,N1,MADDAM SONAPAR(1) BOX CULVERT,16923.7,0.4591258026186918,0.6692693284706985,70
1000430,90,29.41,N1,DHARBAR TILA CULVERT,16923.9,0.4587024273755592,0.6690167050919815,71
1000432,90,29.41,N1,MADDUM SONAPHAR-3,16923.6,0.4584189689507906,0.6688375614035602,72
1000402,90,29.41,N1,MUHURI BRIDGE (2 bridges at crossing),16921.4,0.4625693512571852,0.6713085282373328,73
1000437,90,29.41,N1,MAMAFAKIR ASTANA SLAB CULVERT,16923.8,0.4577060939694884,0.6684090426419745,74
1000512,90,29.41,N1,RONA SORA CULVERT,16921.3,0.4462880116418525,0.6614139419499286,75
1000443,90,29.41,N1,MUSTAU NOGAR(2),16922.5,0.4568426694582367,0.6678544578564771,76
1000445,90,29.41,N1,MASTARI HAGOR 3 CULVERT,16923.0,0.4565529280675312,0.6676899471666999,77
1000450,90,29.41,N1,PURPU DURGAPURE BOX CUL,16922.4,0.4558243456713868,0.6672334344049334,78
1000474,90,29.41,N1,VARTAKA BOX CULVERT,16923.3,0.4522430550873537,0.6650782566000581,79
1000440,90,29.41,N1,MASTANNAGOR BONCUL(1),16923.2,0.4572754691502747,0.6681335641098214,80
2000971,34,11.11,N2,BOTESSOR BOX CULVERT,10010.3,0.0742095605959441,0.2759564299261985,81
2000974,34,11.11,N2,PULI BOX CULVERT,10011.2,0.0728473652503169,0.2751495386829943,82
2000977,34,11.11,N2,BOTESSOR BOX CULVERT,10010.9,0.0714829950318655,0.2743136503805738,83
2000981,34,11.11,N2,THAKURRAMATI BOX CULVERT,10013.1,0.0696604516050923,0.2732570409951926,84
2000984,34,11.11,N2,THAKURAMATI BOX CULVERT,10012.7,0.0682910066833841,0.2724157630812685,85
2000987,34,11.11,N2,SHIK NAGAR,10013.7,0.0669193868888516,0.2716054519980054,86
2000991,34,11.11,N2,KHAN BAGAN,10014.2,0.0650871773606371,0.2705037624861498,87
2001000,34,11.11,N2,OMON PUR,10016.2,0.0609505692487965,0.2680365520244482,88
2000994,34,11.11,N2,PANI CHARA,10015.2,0.0637104828628479,0.2696903680948397,89
2000997,34,11.11,N2,OMON PUR,10016.3,0.0623316134922343,0.268877958589252,90
2001003,34,11.11,N2,HORIPUR,10016.4,0.0595673501325343,0.2672007429522803,91
2001006,34,11.11,N2,HORIPUR (2 bridges at crossing),10017.0,0.0581819561434478,0.2663728376762054,92
2001010,34,11.11,N2,Korish Bridge (2 bridges at crossing),10018.1,0.0563313810224947,0.2652738273464446,93
2001020,34,11.11,N2,GOYALI RCC GIDER BRIDGE (2 bridges at crossing),10021.7,0.0516880275425894,0.2625356274079358,94
2000965,34,11.11,N2,PILOR CHAK BOX CULVERT,10009.7,0.0769274266687255,0.2775939238008855,95
2001015,34,11.11,N2,SALI RCC GIDER BRIDGE (2 bridges at crossing),10020.5,0.0540127249392425,0.26392040050034,96
2000968,34,11.11,N2,HAGIVILA BOX CULVERT,10009.7,0.075569581068747,0.2767689186620387,97
2000924,34,11.11,N2,MIRA BAZAR CULVERT,10002.2,0.095266679280929,0.2885635858507036,98
2000962,34,11.11,N2,PORGONA BAZAR BOX CULVERT,10008.9,0.0782830973958797,0.2783991570943432,99
2000928,34,11.11,N2,MIRA BAZAR BOX CULVERT,10003.2,0.0934953661917952,0.2875104275526954,100
2000912,34,11.11,N2,SHAHJALAL BRIDGE (2 bridges at crossing),10001.5,0.100557419904871,0.2917620106017347,101
2000943,34,11.11,N2,HATIM PARA (2 bridges at crossing),10005.8,0.0868185066211586,0.2835136389979499,102
2000939,34,11.11,N2,ISLAM PUR BOX CULVERT,10005.6,0.0886043188624545,0.2845940571751754,103
2000936,34,11.11,N2,TILA GOR BOX CULVERT,10004.0,0.089941140691798,0.2853693877539471,104
2000934,34,11.11,N2,TILA GOR BOX CULVERT,10004.4,0.0908311469820135,0.2859193664695313,105
2000931,34,11.11,N2,FORHADKHA POLL BOX CULVERT,10003.0,0.0921643440233165,0.286697107292326,106
2000926,34,11.11,N2,MIRA BAZAR BOX CULVERT,10003.2,0.0943815060414342,0.288048831867369,107
2000960,34,11.11,N2,HATIMA BOX CULVERT,10008.0,0.079185669617969,0.2789267887230099,108
2000921,34,11.11,N2,NAYER POLL BOX CULVERT,10002.6,0.096592626746151,0.2893784354099397,109
2000918,34,11.11,N2,SUB CITY BOX CULVERT,10001.6,0.0979163993385486,0.2901596753030459,110
2000945,34,11.11,N2,KHASIM RLAQAR,10006.4,0.0859241505852945,0.282984080481465,111
2000948,34,11.11,N2,Khadim Nagar Bridge (2 bridges at crossing),10006.7,0.084580804137478,0.2821748037045515,112
2000952,34,11.11,N2,Khadem Nagar Bridge (2 bridges at crossing),10008.2,0.0827862924048849,0.281119081801327,113
2000955,34,11.11,N2,KASIM NAGAR,10008.2,0.0814378712538117,0.2802998028059961,114
2000916,34,11.11,N2,SUCLTY BOX CULVERT,10001.7,0.0987977061374669,0.2906974494373221,115
1000015,34,11.11,N1,Kachpur bridge,11683.3,0.0073474453581326,0.2739165413499797,116
2000910,34,11.11,N2,KADAMTALY CULVERT,10001.6,0.1014358268733569,0.2922980228456983,117
1001513,34,11.11,N1,Noya Para Bridge (2 bridges at crossing),4970.3,0.0498239198796183,0.1449024127675825,118
1001546,34,11.11,N1,KARUNTON BOX CULVERT,4968.7,0.0342975027868578,0.1354319107063573,119
1001543,34,11.11,N1,DONMIA,4968.8,0.0357198696139576,0.1362984242081149,120
1001539,34,11.11,N1,DONDOMIA,4969.6,0.0376129755812528,0.1374670953614725,121
1001531,34,11.11,N1,DONDO MIA CHAK POST BRIDGE (2 bridges at crossing),4969.6,0.0413875881941136,0.1397604892516284,122
1001527,34,11.11,N1,DOMMO MIA BOX CULVERT,4969.9,0.0432690948396792,0.1409105813264518,123
1001524,34,11.11,N1,DONDO MIA BOX CULVERT,4970.1,0.044677687472225,0.1417710321526816,124
1001511,34,11.11,N1,NOYA PARA CULVERT,4970.3,0.0507564570161759,0.1454690073272567,125
1001552,34,11.11,N1,Karumtoli choto(1) Bridge (2 bridges at crossing),4968.6,0.0314462445141853,0.1336972257530958,126
1001508,34,11.11,N1,MOSINNI RCC GIDER BRIDGE (2 bridges at crossing),4970.7,0.0521534503269921,0.14632702319915,127
1001502,34,11.11,N1,Ladapara Bridge (2 bridges at crossing),4971.7,0.0549409123301514,0.1480437032966471,128
1001495,34,11.11,N1,RONGI- KHALI RCC GIDER BRIDGE (2 bridges at crossing),4971.9,0.0581819561434478,0.1500175219762093,129
1001487,34,11.11,N1,NILA DOGA PARA BOX CULVERT,4971.5,0.0618715070636244,0.1522500085367035,130
1001483,34,11.11,N1,Bridge start,4971.7,0.0637104828628479,0.1533719532501528,131
1001475,34,11.11,N1,ALI AXBAR PARA BOX CULVERT,4973.0,0.0673768351395652,0.1556295518469125,132
1001549,34,11.11,N1,KARUNTON BOX CULVERT,4968.7,0.0328729610869337,0.1345663820903222,133
1001554,34,11.11,N1,KAKUM TOLI CHACK BOX CULVERT,4968.6,0.0304938918696729,0.1331185916096192,134
1001614,34,11.11,N1,Bridge start,4966.7,0.0014738388172751,0.1154426545411979,135
1001584,34,11.11,N1,Naitom Para (2) Bridge (2 bridges at crossing),4968.1,0.0160926089846896,0.1243570723276845,136
1001609,34,11.11,N1,Bridge start,4967.1,0.0039254037953464,0.1169414111900849,137
1001602,34,11.11,N1,Bridge start,4966.9,0.0073474453581326,0.1190159759761608,138
1001598,34,11.11,N1,Naitom Para(4) Bridge (2 bridges at crossing),4967.5,0.009297581323932,0.1202146850320848,139
1001592,34,11.11,N1,Naitong Para (3) Bridge (2 bridges at crossing),4967.7,0.0122155356965501,0.1219921997659915,140
1001590,34,11.11,N1,Naitong Para (3) Bridge (2 bridges at crossing),4967.8,0.0131862539338012,0.122584298851571,141
1001588,34,11.11,N1,Naitong Para (3) Bridge (2 bridges at crossing),4967.8,0.0141560055609081,0.1231735043369229,142
1001578,34,11.11,N1,Bridge start,4968.1,0.0189902645442807,0.1261176412224899,143
1001559,34,11.11,N1,Karumtoli(1) Bridge (2 bridges at crossing),4968.5,0.0281087813390112,0.1316671305240984,144
2001029,34,11.11,N2,DIGIR PAR,10024.4,0.0474883481188437,0.2600462399561342,145
1001574,34,11.11,N1,Bridge start,4968.4,0.0209172018666208,0.127295336245543,146
1001571,34,11.11,N1,Baraytoli (3) Bridge (2 bridges at crossing),4968.6,0.0223598675067475,0.1281764892829452,147
1001569,34,11.11,N1,Gilatoli (1) Bridge (2 bridges at crossing),4967.8,0.0233204363374851,0.1287416650213194,148
1001566,34,11.11,N1,BORYTOLI SLAB CULVERT,4968.0,0.0247594771895713,0.1296206156958309,149
1001562,34,11.11,N1,BAROY TOLI RCC GIDER BRIDGE (2 bridges at crossing),4968.1,0.0266748151901817,0.1307866505507202,150
2001024,34,11.11,N2,DAMRI RCC GIDER BRIDGE (2 bridges at crossing),10023.2,0.0498239198796183,0.2614376201372105,151
4000076,34,11.11,N104,Bridge start,6808.5,0.0295405726150163,0.174973047471392,152
2001032,34,11.11,N2,DAMA BOX CULVERT,10024.6,0.0460841052319465,0.2591976571792005,153
9000062,34,11.11,N106,ISAPUR BRIDGE (2 bridges at crossing),3914.4,0.0926082597320121,0.1465452310624307,154
9000115,34,11.11,N106,POSHIM RAYJON,3911.3,0.0687477299764896,0.131976461691114,155
9000103,34,11.11,N106,Bridge start,3912.2,0.0742095605959441,0.135315738825894,156
9000100,34,11.11,N106,Beroli Bridge (2 bridges at crossing),3912.4,0.075569581068747,0.1361466779893888,157
9000095,34,11.11,N106,SULTAN PUR CULVERT,3911.7,0.077831448806031,0.1375048083089721,158
9000092,34,11.11,N106,JALANIR HAT,3911.8,0.079185669617969,0.138329917388385,159
9000088,34,11.11,N106,Bridge start,3912.2,0.0809879142317153,0.1394341574314557,160
9000084,34,11.11,N106,Bridge start,3912.7,0.0827862924048849,0.1405383545908999,161
9000074,34,11.11,N106,Bridge start,3913.3,0.0872653221602866,0.1432735788235512,162
9000068,34,11.11,N106,BODORGONA BOX CUL,3914.2,0.089941140691798,0.1449201198405587,163
9000058,34,11.11,N106,Subadaggu Bridge (2 bridges at crossing),3914.7,0.0943815060414342,0.1476295458989193,164
9000010,34,11.11,N106,BALUCHARA,3921.0,0.1153588793895277,0.1605203575376115,165
9000043,34,11.11,N106,MODANHAT (2 bridges at crossing),3917.0,0.100996744215382,0.1517019031539074,166
9000037,34,11.11,N106,PASSIM SURAGOL,3918.3,0.1036276153751909,0.1533303600848978,167
9000033,34,11.11,N106,PASHIM CHARAKUL CUL,3918.8,0.1053766964310095,0.1544046051090288,168
9000030,34,11.11,N106,CHOWDIRIR HAT,3919.0,0.1066859698712451,0.1552047111920541,169
9000028,34,11.11,N106,BORODIGHIR PAR,3919.3,0.1075576105687219,0.1557412249655355,170
9000024,34,11.11,N106,BORDIGHIR PAR,3920.0,0.1092979921332433,0.1568147969256425,171
9000021,34,11.11,N106,LALIYAR HAT,3920.7,0.1106007409550059,0.1576224702727487,172
9000019,34,11.11,N106,AMAR BAZAR,3920.8,0.1114680319068342,0.1581517286038476,173
9000015,34,11.11,N106,NOTUN PARA (2 bridges at crossing),3921.3,0.1131997139800583,0.1592154022861034,174
9000124,34,11.11,N106,Rauzan dalarmuk Bridge,3910.1,0.0646285208472434,0.1294460208606694,175
9000132,34,11.11,N106,GODAR PAR ARCH,3909.1,0.0609505692487965,0.12718829361303,176
9000136,34,11.11,N106,AMTULA BOX,3908.8,0.0591057937887082,0.1260605188154988,177
9000145,34,11.11,N106,Morartak,3908.5,0.0549409123301514,0.1235230849437431,178
9000237,34,11.11,N106,KOBAGON ARCH MASONRY,3900.0,0.0112438508491549,0.0967774176786372,179
9000233,34,11.11,N106,MOIS PARA ARCH MASONRY,3900.1,0.0131862539338012,0.0979598968431102,180
9000229,34,11.11,N106,MOSHIS PARA CULVERT,3900.6,0.0151247905778709,0.0991492520343271,181
9000227,34,11.11,N106,KOLA BAGAN ARCH MASONRY,3900.6,0.0160926089846896,0.0997372829261373,182
9000221,34,11.11,N106,GHAGRA ARCH MASO,3900.9,0.0189902645442807,0.1015047707313131,183
9000210,34,11.11,N106,MOGI CHORI,3902.7,0.0242800385580786,0.1047602657719938,184
9000203,34,11.11,N106,GUBTULL CULVERT,3903.2,0.0276310342752707,0.1068078083696103,185
9000197,34,11.11,N106,RANIRAT ARCK,3903.9,0.0304938918696729,0.1085633787048629,186
9000194,34,11.11,N106,RANIARAT ARCH,3904.1,0.0319220583576375,0.1094357222907024,187
9000191,34,11.11,N106,Rahirhat Bridge (2 bridges at crossing),3904.6,0.0333480499727778,0.1103136633691779,188
9000183,34,11.11,N106,THANDHA CHOR ARCH MASONRY,3906.0,0.0371400615682331,0.1126499168496046,189
9000179,34,11.11,N106,THANDHA CHOR ARCH MASONRY,3906.0,0.0390302677050959,0.1137983756849951,190
9000176,34,11.11,N106,RANGUNID,3906.4,0.0404453849561146,0.1146674033713417,191
9000172,34,11.11,N106,SIKDAR PARA (2) CULVERT,3907.0,0.0423288248219685,0.1158255889500773,192
9000168,34,11.11,N106,SUP NALA SUBMARGE,3907.4,0.0442083982472458,0.1169768127348157,193
9000162,34,11.11,N106,BETBEAINA BOX CULVERT,3907.9,0.0470205088090807,0.1186969373826853,194
9000158,34,11.11,N106,BETBUNIA BOX CULVERT,3907.6,0.0488904161329166,0.1198261440755175,195
9000152,34,11.11,N106,CHAIRMAN GHAT BOX CULVERT(R) (2 bridges at crossing),3908.2,0.0516880275425894,0.1215397655752812,196
9000149,34,11.11,N106,MONARTECK CULVERT,3908.2,0.0530835709381893,0.1223876752881909,197
9000013,34,11.11,N106,BALUCHARA,3921.6,0.1140641051014541,0.1597475113338035,198
9000006,34,11.11,N106,TANARI BOX CULVERT,3921.4,0.1170818619714545,0.1615764392454728,199
2001034,34,11.11,N2,SRIKAL BOX CULVERT,10025.5,0.0451467350446682,0.2586488828667834,200
2001079,34,11.11,N2,Bilay More Bridge (2 bridges at crossing),10034.2,0.0238003582740499,0.2458798162043433,201
2001119,34,11.11,N2,bridge 242,10041.3,0.0044149918333525,0.2342653270104491,202
2001117,34,11.11,N2,bridge 241,10041.5,0.0053934429517567,0.2348644307736522,203
2001108,34,11.11,N2,NOLJURI (2 bridges at crossing),10038.9,0.0097845111840418,0.2374724092895383,204
2001104,34,11.11,N2,Noljuri Bridge (2 bridges at crossing),10038.9,0.0117298140991205,0.238654344040867,205
2001097,34,11.11,N2,ASUM BAZAR (2 bridges at crossing),10036.6,0.0151247905778709,0.2406640321447661,206
2001093,34,11.11,N2,Bangla Bazar Bridge (3 bridges at crossing),10035.8,0.0170594607813641,0.241821056203961,207
2001089,34,11.11,N2,RANG PASI (2 bridges at crossing),10035.0,0.0189902645442807,0.2429757310760726,208
2001086,34,11.11,N2,Rang Pasi Bridge (2 bridges at crossing),10035.0,0.0204358300148398,0.2438540333968736,209
2001083,34,11.11,N2,RANG PANI STEEL BEAM AND RCC SLAB (2 bridges at crossing),10034.0,0.0218792206125746,0.2447079512653721,210
2001075,34,11.11,N2,Mukterpur Bridge (2 bridges at crossing),10032.2,0.0257176294949486,0.2469985932801811,211
9000004,34,11.11,N106,TANARI BOTTOLA CULVERT,3921.6,0.1179419033472017,0.1621035991542473,212
2001071,34,11.11,N2,Ching Gil Bridge (2 bridges at crossing),10032.4,0.0276310342752707,0.2481657598449856,213
2001067,34,11.11,N2,Chuna Hati Bridge (2 bridges at crossing),10031.8,0.0295405726150163,0.2493121267950521,214
2001064,34,11.11,N2,LAMAPARA BRIGE (2 bridges at crossing),10031.8,0.0309701890181971,0.2501807387191342,215
2001060,34,11.11,N2,Boro Gung Bridge (2 bridges at crossing),10031.2,0.0328729610869337,0.2513229945918048,216
2001055,34,11.11,N2,Eraboty Bridge (2 bridges at crossing),10029.6,0.0352459889907937,0.2527279073089241,217
2001051,34,11.11,N2,SARIGHUT BRIDGE (2 bridges at crossing),10028.5,0.0371400615682331,0.253853345993373,218
2001046,34,11.11,N2,Sari Ghat Bridge (2 bridges at crossing),10028.2,0.0395022151079715,0.2552816335667588,219
2001041,34,11.11,N2,borbos bazer (2 bridges at crossing),10027.0,0.0418583273343091,0.2566854938042156,220
2001037,34,11.11,N2,borbos bazer,10025.5,0.0437388673697305,0.2577934851200453,221
2001125,34,11.11,N2,Bridge start,10043.0,0.0014738388172751,0.2325175369197216,222
4000002,34,11.11,N104,S.S.SK ROAD SLAB CULVERT,6834.3,0.0009828008640528,0.1582168311411672,223
4000007,34,11.11,N104,PAZGACIA SLAB CULVERT,6808.9,0.0618715070636244,0.1946260282523033,224
4000018,34,11.11,N104,SILONIA PC GIDER BRIDGE (2 bridges at crossing),6808.0,0.056794387281537,0.1915204952323203,225
9000002,34,11.11,N106,TANARI BOTTOLA CULVERT,3921.6,0.1188009781128048,0.1626255591593371,226
5000092,34,11.11,N105,DIRASURAM,11617.2,0.0180253459678945,0.2788797953683716,227
5000087,34,11.11,N105,"Gazipur 17 km, Tangail 75 km, Bangabandhu 98 km, / Bridge start",11617.5,0.0204358300148398,0.2803512856010408,228
5000078,34,11.11,N105,SHAMMUDDA,11615.7,0.0247594771895713,0.2829367505948149,229
5000073,34,11.11,N105,Ulukhola Bridge (2 bridges at crossing),11614.0,0.0271530455589942,0.2843518370648577,230
5000065,34,11.11,N105,ULAKOLA,11612.5,0.0309701890181971,0.2866364774610786,231
5000050,34,11.11,N105,CHAPRY,11608.3,0.0380856479417366,0.2908628510702867,232
4000130,34,11.11,N104,Bridge start,6809.9,0.0034355741048042,0.1591443586537264,233
4000124,34,11.11,N104,POKIR PUR BOX CULVERT,6810.5,0.0063709274600167,0.1609416699433357,234
4000118,34,11.11,N104,BOXSI MAZIR BOX CULVERT,6809.8,0.009297581323932,0.1627037136170687,235
4000115,34,11.11,N104,TOWN HALL MORE CULVERT,6810.0,0.0107576459466532,0.1635954379963462,236
4000113,34,11.11,N104,TOWN HALL MORE CULVERT,6810.0,0.0117298140991205,0.1641861117236251,237
4000108,34,11.11,N104,Bridge start,6809.4,0.0141560055609081,0.1656463887977091,238
4000095,34,11.11,N104,AKLASPUR CULVERT,6809.0,0.0204358300148398,0.1694526838798794,239
4000091,34,11.11,N104,CONTRACTOR MOSJIDE BOX CULNERT,6808.8,0.0223598675067475,0.1706170854953359,240
4000083,34,11.11,N104,Bridge start,6808.8,0.0261963431688332,0.172948066378826,241
1001468,34,11.11,N1,KHARANG KHAIL,4972.7,0.070572206623551,0.1575640892367681,242
4000051,34,11.11,N104,Bridge start,6807.1,0.0413875881941136,0.1821388152706851,243
4000027,34,11.11,N104,Matuvhuia Bridge (2 bridges at crossing),6808.0,0.0526186314588587,0.188983373182263,244
1001473,34,11.11,N1,MOULOVI BAZAR BOX CULVERT,4972.3,0.0682910066833841,0.1561688436437429,245
9000247,34,11.11,N106,Bridge start,3898.5,0.0063709274600167,0.0937821132807545,246
1001463,34,11.11,N1,KHARANG KHALI - BOX CUVERT (1),4973.0,0.0728473652503169,0.1589533579215188,247
1001093,34,11.11,N1,SAMBAR PUL CULVERT,4987.5,0.2244444589435966,0.2513957268575187,248
1001122,34,11.11,N1,BAKKHALI BRIDGE (2 bridges at crossing),4986.7,0.2137573755374654,0.2448839765071915,249
1001118,34,11.11,N1,MUKTAR KUL,4987.0,0.2152435386340783,0.2457938642027387,250
1001116,34,11.11,N1,WEST DOVGE BOX CULVERT,4987.1,0.2159851702671686,0.2462467739536275,251
1001458,34,11.11,N1,NOYA BAZAR BRIDGE (2 bridges at crossing),4974.0,0.075116482563682,0.1603551001256493,252
1001110,34,11.11,N1,KHURULIA CHAIRMAN PARA BOX CULVERT,4986.6,0.2182042655055745,0.2475835289980145,253
1001107,34,11.11,N1,KHURULIA SCHOOL BOX CULVERT,4986.8,0.219310550815541,0.248260302759162,254
1001105,34,11.11,N1,KHURULIA SCHOOL BOX CULVERT,4986.8,0.2200468660928385,0.2487076760743544,255
1001103,34,11.11,N1,KHURULIA CULVERT,4987.0,0.2207822147599919,0.2491590746996896,256
1001101,34,11.11,N1,KHURUTIA BOX CULVERT,4987.3,0.2215165968170011,0.2496121923317107,257
1001098,34,11.11,N1,CHAKMAR KOOL BOX CULVERT,4987.5,0.2226163575084946,0.2502850018396551,258
1001095,34,11.11,N1,CHAKMARKOOL,4987.1,0.2237139433271639,0.2509426521091241,259
1001090,34,11.11,N1,ROMA TECHIPUL,4987.6,0.2255384199742253,0.2520627062813812,260
1001128,34,11.11,N1,RABAR DAM BOX,4986.3,0.211520881316465,0.243515893389818,261
1001087,34,11.11,N1,ROMA CALLAGE BOX CULVERT,4987.8,0.2266302061320297,0.252730670590966,262
1001084,34,11.11,N1,RAMU MOUR BOX CULVDERT,4988.1,0.2277198174170098,0.2533996197862733,263
1001081,34,11.11,N1,RAMU BY PASS MORE,4988.1,0.2288072538291656,0.2540603286534757,264
