bridge_id,name,road,condition,length,broken_down,total_delay_min,vehicles_delayed,replication,seed
1000722,Srimi Bridge (2 bridges at crossing),N1,B,61,False,0,0,1,1234567
1000732,Korna Bridge (2 bridges at crossing),N1,B,15,False,0,0,1,1234567
1000746,Kanchon Nagar Bridge (2 bridges at crossing),N1,B,13,False,0,0,1,1234567
1000750,Bridge start,N1,B,0,False,0,0,1,1234567
1000758,MAZAR POINT BRIDGE (2 bridges at crossing),N1,C,50,False,0,0,1,1234567
1000761,MAZAR POINT BRIDGE (2 bridges at crossing),N1,C,50,False,0,0,1,1234567
1000773,Sangu Bridge (2 bridges at crossing),N1,B,211,False,0,0,1,1234567
1000777,KATGOR CULVERT,N1,A,9,False,0,0,1,1234567
1000785,Pathanerpul Bridge (2 bridges at crossing),N1,A,34,False,0,0,1,1234567
1000788,Noyakhalar Muk Bridge (2 bridges at crossing),N1,A,28,False,0,0,1,1234567
1000793,NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT,N1,A,20,False,0,0,1,1234567
1000796,KARANERHAT CULVERT,N1,A,5,False,0,0,1,1234567
1000810,RAJGHATA BRIDGE (2 bridges at crossing),N1,A,30,False,0,0,1,1234567
1000814,Khoria Nagar Bridge (2 bridges at crossing),N1,A,38,False,0,0,1,1234567
1000817,NOYA PARA BOX CULVERT,N1,A,2,False,0,0,1,1234567
1000820,PODUA NOYA PARA BOX CULVERT,N1,A,8,False,0,0,1,1234567
1000822,PODUA BAZAR BOX CULVERT,N1,A,13,False,0,0,1,1234567
1000825,PODUA BAZAR BOX CULVERT,N1,A,6,False,0,0,1,1234567
1000828,BARO AWLIA(R),N1,A,14,False,0,0,1,1234567
1000831,TALOCKDNR PARA BOX CULVERT (2 bridges at crossing),N1,A,2,False,0,0,1,1234567
1000834,AMIRABAD BOX CULVERT,N1,A,2,False,0,0,1,1234567
1000840,AMIRABAD LOHAGORA BOX CULVERT,N1,A,10,False,0,0,1,1234567
1000843,LOHAGORA L.S BOX CULVERT,N1,A,3,False,0,0,1,1234567
1000846,DIGIRPARK BOX CULVERT,N1,A,13,False,0,0,1,1234567
1000852,ZADUNAGOR BUS STATION BOX CULVERT,N1,A,14,False,0,0,1,1234567
1000857,Aadunagor bridge (2 bridges at crossing),N1,A,24,False,0,0,1,1234567
