road	N102
name	Comilla (Mainamati)-Brahmanbaria (Sarail) Road
length	83
from	Mainamati
to	Sarail (Katihat)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1522
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1522&RoadNo=N102
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1522&RoadNo=N102
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1522&RoadNo=N102
