road	N101
name	Comilla - Bibirbazar Land Port Connecting Road
length	6
from	Comilla (Balutopa)
to	Bibirbazar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1622
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1622&RoadNo=N101
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1622&RoadNo=N101
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1622&RoadNo=N101
