road	N105
name	Madanpur (13th Km of N1)-Joydevpur(3rd Km of N4)
length	49
from	Madanpur (40th km of N1)
to	Joydebpur (3rd km of N4)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1521
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1521&RoadNo=N105
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1521&RoadNo=N105
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1521&RoadNo=N105
