road	N205
name	Chandipool-Keean Bridge Road
length	2
from	Chandipool
to	Keen Bridge
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1535
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1535&RoadNo=N205
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1535&RoadNo=N205
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1535&RoadNo=N205
