road	N110
name	Link Road(at N1)-Cox`s Bazar (Laboni More) Road
length	8
from	Link Road
to	Laboni More
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1494
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1494&RoadNo=N110
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1494&RoadNo=N110
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1494&RoadNo=N110
