roadNo	roadId	startChainage	endChainage	width	nrLanes
N204	1337	0	0.032	18.75	6
N204	1337	0.032	0.07	8.5	2
N204	1337	0.07	0.9	5.2	1.5
N204	1337	0.9	2.6	5.19	1.5
N204	1337	2.6	4.2	5.24	1.5
N204	1337	4.2	5.8	5.28	1.5
N204	1337	5.8	7.6	5.33	1.5
N204	1337	7.6	8.32	5.44	1.5
N204	1337	8.32	9.55	5.46	1.5
N204	1337	9.55	11.25	5.27	1.5
N204	1337	11.25	12.85	5.24	1.5
N204	1337	12.85	14.3	5.27	1.5
N204	1337	14.3	16.75	5.24	1.5
N204	1337	16.75	18.3	5.21	1.5
N204	1337	18.3	19.9	5.28	1.5
N204	1337	19.9	20.4	5.21	1.5
N204	1337	20.4	21.9	5.4	1.5
N204	1337	21.9	23.25	5.47	1.5
N204	1337	23.25	24.9	5.46	1.5
N204	1337	24.9	25.55	5.42	1.5
N204	1337	25.55	26.2	6.95	2
N204	1337	26.2	27.8	5.41	1.5
N204	1337	27.8	29.3	5.42	1.5
N204	1337	29.3	31.1	5.38	1.5
N204	1337	31.1	32.8	5.42	1.5
N204	1337	32.8	33.23	5.6	2
N204	1337	33.23	34.325	5.58	2
N204	1337	34.325	34.421	12	4
