roadNo	roadId	startChainage	endChainage	width	nrLanes
N105	1521	0	0.4	15.2	4
N105	1521	0.4	1.5	7.2	2
N105	1521	1.5	3.4	7.25	2
N105	1521	3.4	5.1	7.25	2
N105	1521	5.1	6.32	7.28	2
N105	1521	6.32	6.41	8.55	2
N105	1521	6.41	7.76	7.28	2
N105	1521	7.76	7.91	7.3	2
N105	1521	7.91	12.803	7.25	2
N105	1521	12.803	12.92	8.51	2
N105	1521	12.92	13.78	7.28	2
N105	1521	13.78	15.3	7.3	2
N105	1521	15.3	18.33	7.2	2
N105	1521	18.33	19.6	7.3	2
N105	1521	19.6	20	150	4
N105	1521	20	20.37	16	4
N105	1521	20.37	21.37	16	4
N105	1521	21.37	23.5	7.25	2
N105	1521	23.5	25.4	7.27	2
N105	1521	25.4	27.4	7.23	2
N105	1521	27.4	29.6	7.27	2
N105	1521	29.6	31.125	7.24	2
N105	1521	31.125	31.26	10	3
N105	1521	31.26	31.46	14.6	4
N105	1521	31.46	31.68	10.4	3
N105	1521	31.68	33.6	7.26	2
N105	1521	33.6	33.73	12.9	4
N105	1521	33.73	33.87	14.6	4
N105	1521	33.87	33.95	11.4	3
N105	1521	33.95	36.14	7.26	2
N105	1521	36.14	36.24	9	3
N105	1521	36.24	38.45	7.26	2
N105	1521	38.45	40.3	7.21	2
N105	1521	40.3	42.4	7.3	2
N105	1521	42.4	44.5	7.31	2
N105	1521	44.5	45.9	7.27	2
N105	1521	45.9	46.1	12	4
N105	1521	46.1	46.15	12	4
N105	1521	46.15	48.68	7.3	2
N105	1521	48.68	48.881	14.4	4
