road	N211
name	Shah Mostafa (Beripar-Moulvibazar Court Road) Road
length	1
from	Beripar
to	Court Road
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1707
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1707&RoadNo=N211
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1707&RoadNo=N211
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1707&RoadNo=N211
