road	N124
name	Mithachara Old Section Road
length	1
from	Int with N1
to	Mithachara
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1721
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1721&RoadNo=N124
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1721&RoadNo=N124
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1721&RoadNo=N124
