road	N204
name	Jagadishpur-Chunarughat-Shaistaganj (old part)
length	34
from	Jagadishpur
to	Shaistaganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1337
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1337&RoadNo=N204
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1337&RoadNo=N204
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1337&RoadNo=N204
