road	N120
name	Comilla Town Old Section
length	21
from	Comilla Town
to	Comilla Town
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1735
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1735&RoadNo=N120
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1735&RoadNo=N120
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1735&RoadNo=N120
