road	N208
name	Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road
length	57
from	Moulvibazar
to	Sylhet (Humayun Rashid Chattar)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1578
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1578&RoadNo=N208
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1578&RoadNo=N208
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1578&RoadNo=N208
