road	N103
name	Brahmanbaria Town Portion (Kuatali-Ghaturia)
length	5
from	Kuatali
to	Ghaturia
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1371
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1371&RoadNo=N103
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1371&RoadNo=N103
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1371&RoadNo=N103
