road	N129
name	Kumira Old Section Road
length	3
from	Int with N1
to	Kumira
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1726
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1726&RoadNo=N129
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1726&RoadNo=N129
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1726&RoadNo=N129
