road	N126
name	Komoldoho Old Section Road
length	1
from	Int with N1
to	Komoldoho
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1723
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1723&RoadNo=N126
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1723&RoadNo=N126
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1723&RoadNo=N126
