road	N203
name	Bhairab Bazar Old Ferryghat link Road
length	1
from	Bhairab Bazar
to	Old Ferryghat
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1793
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1793&RoadNo=N203
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1793&RoadNo=N203
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1793&RoadNo=N203
