road	N123
name	Baraiyerhat-Joraganj Old Section Road
length	8
from	Baraiyerhat
to	Joraganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1720
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1720&RoadNo=N123
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1720&RoadNo=N123
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1720&RoadNo=N123
