road	N1
name	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
length	462
from	Dhaka (Jatrabari)
to	Teknaf
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1585
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1585&RoadNo=N1
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1585&RoadNo=N1
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1585&RoadNo=N1
