road	N128
name	Sitakunda Old Section Road
length	1
from	Sitakunda
to	Sitakunda
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1725
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1725&RoadNo=N128
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1725&RoadNo=N128
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1725&RoadNo=N128
