roadNo	roadId	startChainage	endChainage	width	nrLanes
N1	1585	0	0.13	29.7	8
N1	1585	0.13	0.4	14	4
N1	1585	0.4	1.05	28.3	8
N1	1585	1.05	5.1	16.5	5
N1	1585	5.1	6.2	16.2	5
N1	1585	6.2	6.89	16	5
N1	1585	6.89	7.33	26	8
N1	1585	7.33	7.9	28	8
N1	1585	7.9	8.9	14.9	4
N1	1585	8.9	9.8	15	4
N1	1585	9.8	10.45	14.6	4
N1	1585	10.45	11.62	14.9	4
N1	1585	11.62	12.1	28	8
N1	1585	12.1	12.4	10.3	3
N1	1585	12.4	17.22	14.6	4
N1	1585	17.22	19.9	14.6	4
N1	1585	19.9	20.2	14.6	4
N1	1585	20.2	22.33	14.8	4
N1	1585	22.33	22.8	46.9	6
N1	1585	22.8	25.33	14.4	4
N1	1585	25.33	27.2	14.8	4
N1	1585	27.2	27.7	14.8	4
N1	1585	27.7	31.36	15	4
N1	1585	31.36	36.271	14.5	4
N1	1585	36.271	37.607	15.3	5
N1	1585	37.607	41.761	14.5	4
N1	1585	41.761	45.819	18.9	6
N1	1585	45.819	54.029	18.9	6
N1	1585	54.029	229.046	18.8	6
N1	1585	229.046	230.606	25.7	8
N1	1585	230.606	232.754	18.6	6
N1	1585	241.063	242.076	7.1	2
N1	1585	242.076	242.556	7.2	2
N1	1585	242.556	245.156	15	4
N1	1585	245.156	246.856	7.2	2
N1	1585	246.856	247.816	8	2
N1	1585	247.816	254.897	7	2
N1	1585	254.897	259.599	7	2
N1	1585	259.599	260.499	7	2
N1	1585	260.499	261.91	8.2	2
N1	1585	261.91	263.41	7.3	2
N1	1585	263.41	264.11	7.3	2
N1	1585	264.11	267.25	8.2	2
N1	1585	267.25	270.205	7.2	2
N1	1585	270.205	272.405	8.2	2
N1	1585	272.405	281.139	7.2	2
N1	1585	281.139	286.489	8	2
N1	1585	286.489	287.354	7	2
N1	1585	287.354	297.229	7.2	2
N1	1585	297.229	297.902	7.1	2
N1	1585	297.902	328.948	7.1	2
N1	1585	328.948	329.611	7.2	2
N1	1585	329.611	380.568	6.8	2
N1	1585	380.568	406.49	5.8	2
N1	1585	406.49	406.994	7	2
N1	1585	406.994	411.091	5.9	2
N1	1585	411.091	416.136	5.9	2
N1	1585	416.136	423.239	5.9	2
N1	1585	423.239	429.682	5.8	2
N1	1585	429.682	437.968	5.8	2
N1	1585	437.968	444.511	5.7	2
N1	1585	444.511	451.519	5.6	2
N1	1585	451.519	459.326	5.7	2
N1	1585	459.326	462.254	6.3	2
