road	N213
name	Asugonj River port Connecting Road
length	0
from	Asugonj Gol Chottor
to	Asugonj new ferry ghat
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1784
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1784&RoadNo=N213
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1784&RoadNo=N213
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1784&RoadNo=N213
