road	N207
name	Mirpur-Srimongal-Moulavibazar-Sherpur Road
length	68
from	Mirpur
to	Sherpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1345
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1345&RoadNo=N207
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1345&RoadNo=N207
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1345&RoadNo=N207
