road	N212
name	Tamabil Landport Connecting Road
length	0
from	Tamabil South
to	Tamabil (North)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1690
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1690&RoadNo=N212
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1690&RoadNo=N212
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1690&RoadNo=N212
