roadNo	roadId	startChainage	endChainage	width	nrLanes
N2	1479	0	0.13	15.2	4
N2	1479	0.13	0.26	14	4
N2	1479	0.26	1.56	11.5	3
N2	1479	1.56	2.26	7.4	2
N2	1479	2.26	2.416	7.4	2
N2	1479	2.416	4.346	7	2
N2	1479	4.346	4.526	9	3
N2	1479	4.526	5.926	7.3	2
N2	1479	5.926	6.176	7.4	2
N2	1479	6.176	10.996	7.3	2
N2	1479	10.996	11.276	14	4
N2	1479	11.276	11.486	11.5	3
N2	1479	11.486	11.796	7.5	2
N2	1479	11.796	20.871	7.3	2
N2	1479	20.871	20.971	7.3	2
N2	1479	20.971	25.416	7.3	2
N2	1479	25.416	26.036	13.4	4
N2	1479	26.036	26.326	7.8	2
N2	1479	26.326	27.376	7.4	2
N2	1479	27.376	27.626	13.4	4
N2	1479	27.626	27.876	13.4	4
N2	1479	27.876	28.426	14	4
N2	1479	28.426	29.826	7.4	2
N2	1479	29.826	30.076	13.4	4
N2	1479	30.076	30.426	140	4
N2	1479	30.426	33.436	7.4	2
N2	1479	33.436	33.606	18	6
N2	1479	33.606	35.866	7.4	2
N2	1479	35.866	36.816	10	3
N2	1479	36.816	37.366	20	6
N2	1479	37.366	41.446	7.4	2
N2	1479	41.446	41.666	9	3
N2	1479	41.666	42.281	7.5	2
N2	1479	42.281	42.526	7.5	2
N2	1479	42.526	42.616	17	4
N2	1479	42.616	42.766	17	4
N2	1479	42.766	42.916	14	4
N2	1479	42.916	50.171	7.5	2
N2	1479	50.171	50.391	17	4
N2	1479	50.391	51.671	7.5	2
N2	1479	51.671	51.871	16	4
N2	1479	51.871	52.671	7.5	2
N2	1479	52.671	52.821	16	4
N2	1479	52.821	54.436	7.5	2
N2	1479	54.436	54.726	16.4	4
N2	1479	54.726	58.876	7.5	2
N2	1479	58.876	59.126	16	4
N2	1479	59.126	63.848	7.5	2
N2	1479	63.848	64.048	16	4
N2	1479	64.048	68.948	7.4	2
N2	1479	68.948	69.498	9.5	3
N2	1479	69.498	70.098	8	2
N2	1479	70.098	70.848	16	4
N2	1479	70.848	71.108	12	3
N2	1479	71.108	73.598	17	4
N2	1479	73.598	73.848	13.5	4
N2	1479	73.848	74.173	12	3
N2	1479	74.173	85.713	7.4	2
N2	1479	85.713	85.963	14	4
N2	1479	85.963	89.746	7.5	2
N2	1479	89.746	89.926	7.4	2
N2	1479	89.926	92.246	7.4	2
N2	1479	92.246	92.796	16	4
N2	1479	92.796	93.551	10.6	3
N2	1479	93.551	99.116	7.4	2
N2	1479	99.116	99.246	7.4	2
N2	1479	99.246	107.706	7.4	2
N2	1479	107.706	108.166	21	6
N2	1479	108.166	116.126	7.4	2
N2	1479	116.126	116.516	13	4
N2	1479	116.516	121.881	7.4	2
N2	1479	121.881	121.976	7.4	2
N2	1479	121.976	131.136	7.4	2
N2	1479	131.136	131.236	8	3
N2	1479	131.236	135.026	7.4	2
N2	1479	135.026	135.091	7.4	2
N2	1479	135.091	141.181	7.5	2
N2	1479	141.181	141.431	16	4
N2	1479	141.431	142.056	7.4	2
N2	1479	142.056	145.841	7.4	2
N2	1479	145.841	146.081	16	4
N2	1479	146.081	154.281	7.4	2
N2	1479	154.281	154.501	7.4	2
N2	1479	154.501	157.311	7.4	2
N2	1479	157.311	157.611	10.5	3
N2	1479	157.611	159.736	7.4	2
N2	1479	159.736	159.936	10.5	3
N2	1479	159.936	161.221	7.4	2
N2	1479	161.221	161.441	10.4	3
N2	1479	161.441	164.406	7.4	2
N2	1479	164.406	164.506	10.4	3
N2	1479	164.506	166.971	7.4	2
N2	1479	166.971	167.041	10.4	3
N2	1479	167.041	169.363	7.4	2
N2	1479	169.363	169.488	10.4	3
N2	1479	169.488	174.593	7.4	2
N2	1479	174.593	174.793	10.4	3
N2	1479	174.793	179.345	7.4	2
N2	1479	179.345	179.595	10	3
N2	1479	179.595	181.58	7.4	2
N2	1479	181.58	181.73	16	4
N2	1479	181.73	190.82	7.4	2
N2	1479	190.82	190.97	16	4
N2	1479	190.97	191.76	8	2
N2	1479	191.76	191.91	7.4	2
N2	1479	191.91	192.16	8	3
N2	1479	192.16	201.373	7.4	2
N2	1479	201.373	202.133	7.4	2
N2	1479	202.133	204.388	7.5	2
N2	1479	204.388	205.493	7.4	2
N2	1479	205.493	209.043	7.4	2
N2	1479	209.043	209.373	7.4	2
N2	1479	209.373	214.278	7.4	2
N2	1479	214.278	214.708	7.4	2
N2	1479	214.708	219.488	7.4	2
N2	1479	219.488	219.888	7.4	2
N2	1479	219.888	223.923	7.4	2
N2	1479	223.923	224.223	10	3
N2	1479	224.223	225.173	7.4	2
N2	1479	225.173	225.323	7.5	2
N2	1479	225.323	225.528	16	4
N2	1479	225.528	225.643	8	2
N2	1479	225.643	226.683	8	2
N2	1479	226.683	228.795	7.4	2
N2	1479	228.795	229.15	17.2	5
N2	1479	229.15	286.516	7.3	2
