road	N108
name	Keranirhat-Bandarban Road
length	23
from	Keranirhat
to	Bandarban
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1344
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1344&RoadNo=N108
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1344&RoadNo=N108
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1344&RoadNo=N108
