road	N112
name	Feni-Noakhali Highway Link Road
length	3
from	Panhgachhia
to	Dewanganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1703
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1703&RoadNo=N112
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1703&RoadNo=N112
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1703&RoadNo=N112
