roadNo	roadId	startChainage	endChainage	width	nrLanes
N102	1522	0	1.1	6.5	2
N102	1522	1.1	2.25	5.7	2
N102	1522	2.25	2.76	5.8	2
N102	1522	2.76	2.96	5.6	2
N102	1522	2.96	7	6	2
N102	1522	7	9.4	6.2	2
N102	1522	9.4	11.2	6	2
N102	1522	11.2	14.45	5.6	2
N102	1522	14.45	14.7	5.5	2
N102	1522	14.7	15	5.7	2
N102	1522	15	16	5.7	2
N102	1522	16	19.6	5.7	2
N102	1522	19.6	20.8	5.6	2
N102	1522	20.8	21.48	5.7	2
N102	1522	21.48	25.5	6	2
N102	1522	25.5	25.8	5.3	1.5
N102	1522	25.8	25.9	6	2
N102	1522	25.9	27.55	7.2	2
N102	1522	27.55	30.1	6.1	2
N102	1522	30.1	35	6	2
N102	1522	35	35.4	6	2
N102	1522	35.4	37.5	5.6	2
N102	1522	37.5	41.4	5.6	2
N102	1522	41.4	46.5	5.6	2
N102	1522	46.5	53.2	5.7	2
N102	1522	53.2	53.7	5.4	1.5
N102	1522	53.7	54.6	5.8	2
N102	1522	54.6	54.9	5.6	2
N102	1522	54.9	55.5	5.6	2
N102	1522	55.5	65.9	5.3	1.5
N102	1522	65.9	70	5.5	2
N102	1522	70	72.05	7.2	2
N102	1522	72.05	72.3	7	2
N102	1522	72.3	75.8	7.2	2
N102	1522	75.8	78.8	6	2
N102	1522	78.8	82.682	6.1	2
