roadNo	roadId	startChainage	endChainage	width	nrLanes
N208	1578	0	0.05	7.8	2
N208	1578	0.05	1.2	5.9	2
N208	1578	1.2	2.22	5.9	2
N208	1578	2.22	2.41	5.9	2
N208	1578	2.41	2.81	5.9	2
N208	1578	2.81	3.12	17.8	4
N208	1578	3.12	3.71	7.5	2
N208	1578	3.71	4.3	6.7	2
N208	1578	4.3	5.8	6.9	2
N208	1578	5.8	7.4	6.8	2
N208	1578	7.4	9.2	6.8	2
N208	1578	9.2	11.3	6.8	2
N208	1578	11.3	12.7	6.8	2
N208	1578	12.7	12.74	6.7	2
N208	1578	12.74	13.41	6.8	2
N208	1578	13.41	13.57	6.8	2
N208	1578	13.57	14	10	3
N208	1578	14	16.3	5.61	2
N208	1578	16.3	17.6	5.62	2
N208	1578	17.6	18.4	5.6	2
N208	1578	18.4	20.1	5.64	2
N208	1578	20.1	21.45	5.62	2
N208	1578	21.45	21.56	5.6	2
N208	1578	21.56	22.2	5.7	2
N208	1578	22.2	24.8	5.6	2
N208	1578	24.8	26.2	5.6	2
N208	1578	26.2	27.35	5.6	2
N208	1578	27.35	28.8	7.8	2
N208	1578	28.8	30.45	8	2
N208	1578	30.45	31.4	5.7	2
N208	1578	31.4	33.2	5.7	2
N208	1578	33.2	35	5.62	2
N208	1578	35	36.3	8.3	2
N208	1578	36.3	37.7	5.7	2
N208	1578	37.7	38.18	8.32	2
N208	1578	38.18	40	5.6	2
N208	1578	40	41.85	5.6	2
N208	1578	41.85	43.2	5.6	2
N208	1578	43.2	44.8	5.6	2
N208	1578	44.8	46.2	5.71	2
N208	1578	46.2	47.85	5.6	2
N208	1578	47.85	49.12	5.6	2
N208	1578	49.12	50.8	5.6	2
N208	1578	50.8	52.3	5.6	2
N208	1578	52.3	53.35	5.6	2
N208	1578	53.35	53.51	7.6	2
N208	1578	53.51	54.9	8.1	2
N208	1578	54.9	56.2	8	2
N208	1578	56.2	57.495	8.1	2
