roadNo	roadId	startChainage	endChainage	width	nrLanes
N106	1379	0	0.15	14.8	4
N106	1379	0.15	2.04	7.1	2
N106	1379	2.04	4.473	14.62	4
N106	1379	4.473	7.73	14.62	4
N106	1379	7.73	7.88	14.1	4
N106	1379	7.88	9.55	14.6	4
N106	1379	9.55	12.93	6.3	2
N106	1379	12.93	13.05	7.8	2
N106	1379	13.05	19.27	5.6	2
N106	1379	19.27	19.48	7.35	2
N106	1379	19.48	24.45	5.65	2
N106	1379	24.45	29.5	6.2	2
N106	1379	29.5	36.4	7.3	2
N106	1379	36.4	43.7	7.3	2
N106	1379	43.7	51.4	7.4	2
N106	1379	51.4	56.5	7.25	2
N106	1379	56.5	60.6	7.35	2
N106	1379	60.6	61.79	9	3
N106	1379	61.79	64.5	7.7	2
N106	1379	64.5	66.85	7.4	2
