road	N125
name	Bartakia Old Section Road
length	1
from	Int with N1
to	Bartakia
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1722
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1722&RoadNo=N125
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1722&RoadNo=N125
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1722&RoadNo=N125
