road	N206
name	Keean Bridge-Nayarpool Road
length	2
from	End of Keean Bridge
to	Nayarpool
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1536
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1536&RoadNo=N206
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1536&RoadNo=N206
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1536&RoadNo=N206
