road	N107
name	Kalurghat-Maneswartek Road
length	11
from	Kalurghat
to	Maneswartek
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1372
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1372&RoadNo=N107
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1372&RoadNo=N107
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1372&RoadNo=N107
