road	N2
name	Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road
length	287
from	Dhaka (Katchpur)
to	Jaflong
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1479
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1479&RoadNo=N2
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1479&RoadNo=N2
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1479&RoadNo=N2
