road	N111
name	Chittagong Port Connecting Road
length	13
from	Kalushah Mazar
to	Chittagong Port
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1694
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1694&RoadNo=N111
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1694&RoadNo=N111
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1694&RoadNo=N111
