road	N210
name	Sylhet Town Bypass Road (Khadim-Paraichak)
length	11
from	Khadim
to	Paraichak
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1117
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1117&RoadNo=N210
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1117&RoadNo=N210
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1117&RoadNo=N210
