road	N106
name	Chittagong-Hathazari-Rangamati Road
length	67
from	Chittagong (Oxygen More)
to	Rangamati
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1379
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1379&RoadNo=N106
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1379&RoadNo=N106
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1379&RoadNo=N106
