road	N209
name	Sylhet Railway Station By-Pass Road
length	1
from	Humayun Rashid Chattar
to	Keean Bridge More
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1338
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1338&RoadNo=N209
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1338&RoadNo=N209
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1338&RoadNo=N209
