road	N119
name	Chandina Town Old Section
length	3
from	Chandina
to	Chandina Town
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1734
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1734&RoadNo=N119
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1734&RoadNo=N119
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1734&RoadNo=N119
