road	N109
name	Ramu Old Section (Ramu Hospital-Khalekuzzaman Chattar)Road
length	3
from	Ramu Hospital
to	Kahlekuzzaman Chattar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1627
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1627&RoadNo=N109
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1627&RoadNo=N109
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1627&RoadNo=N109
