roadNo	roadId	startChainage	endChainage	width	nrLanes
N207	1345	0	0.72	8.4	2
N207	1345	0.72	4.45	7.2	2
N207	1345	4.45	5	5.7	2
N207	1345	5	6.5	7.8	2
N207	1345	6.5	8	7.9	2
N207	1345	8	9.4	7.95	2
N207	1345	9.4	10.7	7.9	2
N207	1345	10.7	11.8	7.96	2
N207	1345	11.8	12.1	10.3	3
N207	1345	12.1	13.4	8	2
N207	1345	13.4	14	7.4	2
N207	1345	14	15.9	7.4	2
N207	1345	15.9	17.2	7.6	2
N207	1345	17.2	18.6	7.4	2
N207	1345	18.6	19.5	7.5	2
N207	1345	19.5	20.8	7.45	2
N207	1345	20.8	22.2	7.65	2
N207	1345	22.2	23.6	7.45	2
N207	1345	23.6	24.56	7.3	2
N207	1345	24.56	24.73	7.3	2
N207	1345	24.73	24.9	7.35	2
N207	1345	24.9	25.37	7.6	2
N207	1345	25.37	25.58	7.35	2
N207	1345	25.58	26.35	6.9	2
N207	1345	26.35	27.28	7.3	2
N207	1345	27.28	29.4	5.1	1.5
N207	1345	29.4	31.2	5.3	1.5
N207	1345	31.2	32.625	5.3	1.5
N207	1345	32.625	33.9	7.35	2
N207	1345	33.9	35.4	7.42	2
N207	1345	35.4	36.6	7.42	2
N207	1345	36.6	37.5	7.4	2
N207	1345	37.5	38.9	7.4	2
N207	1345	38.9	40.4	7.51	2
N207	1345	40.4	41.9	7.6	2
N207	1345	41.9	42.5	7.62	2
N207	1345	42.5	43.33	8.45	2
N207	1345	43.33	43.6	11	4
N207	1345	43.6	43.84	10.6	3
N207	1345	43.84	44	10.6	3
N207	1345	44	44.72	10.53	3
N207	1345	44.72	44.94	13.2	4
N207	1345	44.94	46.1	10.59	3
N207	1345	46.1	46.9	13.2	4
N207	1345	46.9	48.2	12.4	4
N207	1345	48.2	49.4	5.5	2
N207	1345	49.4	50.85	5.6	2
N207	1345	50.85	52.66	5.6	2
N207	1345	52.66	52.88	6.8	2
N207	1345	52.88	54.1	5.7	2
N207	1345	54.1	55.8	5.52	2
N207	1345	55.8	57.2	5.5	2
N207	1345	57.2	58.7	5.6	2
N207	1345	58.7	60.2	5.6	2
N207	1345	60.2	61.47	5.53	2
N207	1345	61.47	61.6	8	2
N207	1345	61.6	62.95	5.62	2
N207	1345	62.95	63.4	5.6	2
N207	1345	63.4	64.475	5.6	2
N207	1345	64.475	66.585	5.57	2
N207	1345	66.585	67.385	5.62	2
N207	1345	67.385	67.57	5.63	2
N207	1345	67.57	67.655	16.4	4
N207	1345	67.655	67.985	24.9	8
